SEQ,IR1,RED1,IR2,RED2,IR3,RED3,IR4,RED4
0,4779,4364,116151,91187,262143,262143,262143,262143
1,4777,4319,116223,91195,262143,262143,262143,262143
2,4752,4342,116197,91218,262143,262143,262143,262143
3,4768,4320,116246,91249,262143,262143,262143,262143
4,4731,4337,116346,91233,262143,262143,262143,262143
5,4770,4307,116350,91285,262143,262143,262143,262143
6,4730,4324,116385,91266,262143,262143,262143,262143
7,4760,4300,116413,91284,262143,262143,262143,262143
8,4778,4321,116497,91240,262143,262143,262143,262143
9,4761,4331,116383,91210,262143,262143,262143,262143
10,4724,4322,116179,91202,262143,262143,262143,262143
11,4796,4306,116151,91142,262143,262143,262143,262143
12,4742,4341,116168,91151,262143,262143,262143,262143
13,4766,4304,116105,91167,262143,262143,262143,262143
14,4770,4351,116124,91128,262143,262143,262143,262143
15,4763,4308,116114,91169,262143,262143,262143,262143
16,4744,4363,116141,91110,262143,262143,262143,262143
17,4775,4337,116161,91148,262143,262143,262143,262143
18,4746,4341,116213,91208,262143,262143,262143,262143
19,4799,4321,116250,91175,262143,262143,262143,262143
20,4753,4322,116317,91170,262143,262143,262143,262143
21,4786,4295,116304,91202,262143,262143,262143,262143
22,4745,4318,116371,91245,262143,262143,262143,262143
23,4738,4342,116418,91198,262143,262143,262143,262143
24,4742,4306,116456,91279,262143,262143,262143,262143
25,4780,4297,116495,91215,262143,262143,262143,262143
26,4727,4345,116357,91123,262143,262143,262143,262143
27,4768,4288,116200,91171,262143,262143,262143,262143
28,4768,4357,116212,91151,262143,262143,262143,262143
29,4765,4289,116215,91103,262143,262143,262143,262143
30,4794,4310,116214,91145,262143,262143,262143,262143
31,4736,4322,116202,91182,262143,262143,262143,262143
32,4750,4358,116291,91163,262143,262143,262143,262143
33,4769,4296,116291,91197,262143,262143,262143,262143
34,4739,4343,116306,91198,262143,262143,262143,262143
35,4764,4337,116391,91237,262143,262143,262143,262143
36,4749,4327,116445,91232,262143,262143,262143,262143
37,4789,4300,116483,91271,262143,262143,262143,262143
38,4768,4332,116534,91255,262143,262143,262143,262143
39,4784,4296,116588,91240,262143,262143,262143,262143
40,4778,4330,116652,91276,262143,262143,262143,262143
41,4756,4306,116631,91297,262143,262143,262143,262143
42,4733,4323,116713,91249,262143,262143,262143,262143
43,4756,4339,116476,91206,262143,262143,262143,262143
44,4736,4333,116431,91151,262143,262143,262143,262143
45,4762,4280,116370,91183,262143,262143,262143,262143
46,4769,4355,116351,91197,262143,262143,262143,262143
47,4754,4305,116368,91142,262143,262143,262143,262143
48,4785,4303,116436,91201,262143,262143,262143,262143
49,4732,4320,116444,91196,262143,262143,262143,262143
50,4805,4319,116539,91225,262143,262143,262143,262143
51,4744,4340,116616,91277,262143,262143,262143,262143
52,4767,4331,116673,91262,262143,262143,262143,262143
53,4766,4328,116652,91289,262143,262143,262143,262143
54,4776,4365,116728,91305,262143,262143,262143,262143
55,4764,4341,116732,91312,262143,262143,262143,262143
56,4799,4288,116819,91269,262143,262143,262143,262143
57,4804,4322,116671,91235,262143,262143,262143,262143
58,4726,4326,116491,91232,262143,262143,262143,262143
59,4725,4317,116479,91165,262143,262143,262143,262143
60,4748,4302,116495,91181,262143,262143,262143,262143
61,4782,4331,116393,91188,262143,262143,262143,262143
62,4795,4302,116491,91169,262143,262143,262143,262143
63,4729,4316,116466,91203,262143,262143,262143,262143
64,4793,4290,116479,91247,262143,262143,262143,262143
65,4767,4319,116512,91188,262143,262143,262143,262143
66,4733,4338,116580,91213,262143,262143,262143,262143
67,4771,4325,116580,91264,262143,262143,262143,262143
68,4795,4303,116633,91243,262143,262143,262143,262143
69,4763,4341,116612,91277,262143,262143,262143,262143
70,4782,4282,116686,91323,262143,262143,262143,262143
71,4785,4363,116725,91301,262143,262143,262143,262143
72,4774,4314,116790,91256,262143,262143,262143,262143
73,4823,4305,116766,91266,262143,262143,262143,262143
74,4760,4327,116515,91179,262143,262143,262143,262143
75,4776,4366,116446,91164,262143,262143,262143,262143
76,4789,4318,116317,91156,262143,262143,262143,262143
77,4765,4346,116289,91162,262143,262143,262143,262143
78,4785,4332,116264,91097,262143,262143,262143,262143
79,4731,4322,116324,91146,262143,262143,262143,262143
80,4781,4288,116258,91140,262143,262143,262143,262143
81,4762,4326,116344,91159,262143,262143,262143,262143
82,4758,4286,116351,91139,262143,262143,262143,262143
83,4792,4320,116405,91192,262143,262143,262143,262143
84,4766,4290,116377,91192,262143,262143,262143,262143
85,4788,4310,116424,91240,262143,262143,262143,262143
86,4743,4327,116494,91220,262143,262143,262143,262143
87,4727,4326,116495,91253,262143,262143,262143,262143
88,4763,4332,116582,91289,262143,262143,262143,262143
89,4762,4338,116615,91283,262143,262143,262143,262143
90,4789,4290,116560,91156,262143,262143,262143,262143
91,4798,4328,116302,91121,262143,262143,262143,262143
92,4780,4320,116136,91134,262143,262143,262143,262143
93,4747,4336,116100,91062,262143,262143,262143,262143
94,4782,4352,116049,91026,262143,262143,262143,262143
95,4805,4311,115948,91055,262143,262143,262143,262143
96,4787,4360,116005,91092,262143,262143,262143,262143
97,4795,4307,116045,91089,262143,262143,262143,262143
98,4832,4309,116021,91107,262143,262143,262143,262143
99,4771,4331,116065,91101,262143,262143,262143,262143
100,4751,4336,116191,91180,262143,262143,262143,262143
101,4768,4314,116247,91165,262143,262143,262143,262143
102,4797,4297,116268,91155,262143,262143,262143,262143
103,4735,4322,116389,91191,262143,262143,262143,262143
104,4776,4338,116359,91207,262143,262143,262143,262143
105,4767,4313,116436,91182,262143,262143,262143,262143
106,4771,4351,116185,91101,262143,262143,262143,262143
107,4779,4318,116058,91061,262143,262143,262143,262143
108,4784,4278,115952,91034,262143,262143,262143,262143
109,4813,4309,115899,91015,262143,262143,262143,262143
110,4752,4324,115836,91059,262143,262143,262143,262143
111,4797,4295,115903,91053,262143,262143,262143,262143
112,4805,4331,115858,91070,262143,262143,262143,262143
113,4802,4317,115923,91092,262143,262143,262143,262143
114,4760,4309,115940,91096,262143,262143,262143,262143
115,4803,4313,116041,91097,262143,262143,262143,262143
116,4762,4334,116045,91164,262143,262143,262143,262143
117,4820,4308,116148,91116,262143,262143,262143,262143
118,4784,4332,116187,91209,262143,262143,262143,262143
119,4798,4292,116203,91193,262143,262143,262143,262143
120,4746,4334,116314,91238,262143,262143,262143,262143
121,4747,4303,116346,91230,262143,262143,262143,262143
122,4735,4294,116428,91285,262143,262143,262143,262143
123,4792,4313,116521,91247,262143,262143,262143,262143
124,4724,4310,116480,91235,262143,262143,262143,262143
125,4769,4305,116266,91107,262143,262143,262143,262143
126,4754,4296,116119,91123,262143,262143,262143,262143
127,4801,4306,116043,91114,262143,262143,262143,262143
128,4779,4317,115964,91068,262143,262143,262143,262143
129,4804,4291,116006,91110,262143,262143,262143,262143
130,4767,4353,116017,91158,262143,262143,262143,262143
131,4775,4284,116111,91143,262143,262143,262143,262143
132,4780,4349,116025,91154,262143,262143,262143,262143
133,4773,4322,116154,91139,262143,262143,262143,262143
134,4743,4333,116160,91222,262143,262143,262143,262143
135,4818,4312,116236,91173,262143,262143,262143,262143
136,4779,4312,116262,91261,262143,262143,262143,262143
137,4740,4319,116357,91260,262143,262143,262143,262143
138,4782,4348,116349,91272,262143,262143,262143,262143
139,4778,4307,116465,91303,262143,262143,262143,262143
140,4741,4330,116529,91310,262143,262143,262143,262143
141,4810,4308,116610,91312,262143,262143,262143,262143
142,4747,4314,116643,91335,262143,262143,262143,262143
143,4780,4287,116485,91216,262143,262143,262143,262143
144,4770,4328,116325,91228,262143,262143,262143,262143
145,4786,4287,116225,91225,262143,262143,262143,262143
146,4754,4336,116232,91207,262143,262143,262143,262143
147,4756,4327,116236,91207,262143,262143,262143,262143
148,4781,4274,116208,91261,262143,262143,262143,262143
149,4786,4314,116303,91258,262143,262143,262143,262143
150,4759,4329,116429,91351,262143,262143,262143,262143
151,4793,4272,116495,91271,262143,262143,262143,262143
152,4793,4312,116576,91351,262143,262143,262143,262143
153,4781,4288,116572,91388,262143,262143,262143,262143
154,4747,4337,116661,91384,262143,262143,262143,262143
155,4766,4312,116676,91407,262143,262143,262143,262143
156,4742,4326,116808,91458,262143,262143,262143,262143
157,4801,4292,116865,91409,262143,262143,262143,262143
158,4720,4304,116868,91463,262143,262143,262143,262143
159,4756,4272,116761,91337,262143,262143,262143,262143
160,4762,4310,116601,91325,262143,262143,262143,262143
161,4721,4306,116525,91360,262143,262143,262143,262143
162,4744,4323,116499,91270,262143,262143,262143,262143
163,4757,4305,116466,91359,262143,262143,262143,262143
164,4725,4334,116483,91336,262143,262143,262143,262143
165,4767,4309,116504,91326,262143,262143,262143,262143
166,4757,4343,116524,91403,262143,262143,262143,262143
167,4762,4289,116611,91350,262143,262143,262143,262143
168,4738,4337,116606,91390,262143,262143,262143,262143
169,4772,4308,116682,91438,262143,262143,262143,262143
170,4734,4313,116717,91428,262143,262143,262143,262143
171,4759,4281,116772,91478,262143,262143,262143,262143
172,4748,4338,116857,91438,262143,262143,262143,262143
173,4775,4310,116905,91493,262143,262143,262143,262143
174,4773,4321,116984,91498,262143,262143,262143,262143
175,4756,4316,116989,91536,262143,262143,262143,262143
176,4783,4302,117090,91532,262143,262143,262143,262143
177,4789,4300,117115,91526,262143,262143,262143,262143
