time,IR,RED
0,232113,217148
0.02,232098,217113
0.04,232185,217115
0.06,232221,217176
0.08,232264,217163
0.1,232142,217100
0.12,231967,217129
0.14,231750,217054
0.16,231440,216911
0.18,231262,216887
0.2,231049,216798
0.22,230883,216691
0.24,230678,216688
0.26,230543,216706
0.28,230409,216550
0.3,230266,216551
0.32,230181,216593
0.34,230154,216528
0.36,230172,216620
0.38,230176,216554
0.4,230166,216644
0.42,230142,216569
0.44,230159,216667
0.46,230147,216575
0.48,230116,216681
0.5,230153,216580
0.52,230184,216748
0.54,230238,216583
0.56,230223,216733
0.58,230212,216619
0.6,230280,216704
0.62,230368,216598
0.64,230384,216727
0.66,230410,216769
0.68,230475,216705
0.7,230499,216852
0.72,230558,216758
0.74,230687,216781
0.76,230641,216941
0.78,230686,216772
0.8,230740,216864
0.82,230767,217015
0.84,230845,216866
0.86,230981,216905
0.88,230917,217078
0.9,230996,216921
0.92,231033,216950
0.94,231075,217132
0.96,231146,217018
0.98,231293,217009
1,231169,217194
1.02,231300,217070
1.04,231459,217077
1.06,231344,217244
1.08,231393,217160
1.1,231373,217088
1.12,230977,217190
1.14,230756,216949
1.16,230562,216847
1.18,230243,216906
1.2,230035,216692
1.22,229903,216617
1.24,229625,216723
1.26,229493,216567
1.28,229460,216470
1.3,229189,216619
1.32,229190,216411
1.34,229139,216489
1.36,229163,216434
1.38,229126,216505
1.4,229217,216468
1.42,229177,216513
1.44,229188,216468
1.46,229153,216533
1.48,229200,216480
1.5,229224,216552
1.52,229241,216519
1.54,229253,216566
1.56,229268,216669
1.58,229437,216511
1.6,229378,216754
1.62,229425,216605
1.64,229428,216694
1.66,229538,216626
1.68,229547,216695
1.7,229652,216838
1.72,229661,216692
1.74,229739,216800
1.76,229719,216743
1.78,229819,216796
1.8,229880,216865
1.82,229898,216837
1.84,230025,216892
1.86,230058,216946
1.88,230047,216887
1.9,230173,216948
1.92,230233,217017
1.94,230230,216952
1.96,230355,217002
1.98,230413,217077
2,230433,217001
2.02,230510,217054
2.04,230596,217120
2.06,230582,217085
2.08,230674,217059
2.1,230640,217133
2.12,230496,217069
2.14,230183,216941
2.16,229955,216934
2.18,229725,216828
2.2,229380,216694
2.22,229262,216707
2.24,229105,216622
2.26,228848,216545
2.28,228758,216554
2.3,228644,216483
2.32,228569,216418
2.34,228467,216493
2.36,228536,216463
2.38,228572,216516
2.4,228617,216468
2.42,228629,216537
2.44,228636,216459
2.46,228627,216564
2.48,228645,216487
2.5,228615,216578
2.52,228722,216477
2.54,228721,216618
2.56,228764,216610
2.58,228772,216603
2.6,228866,216811
2.62,228945,216599
2.64,228990,216784
2.66,229067,216666
2.68,229088,216738
2.7,229160,216799
2.72,229233,216710
2.74,229253,216859
2.76,229285,216805
2.78,229465,216836
2.8,229397,216960
2.82,229485,216878
2.84,229665,216839
2.86,229635,217059
2.88,229719,216887
2.9,229880,216946
2.92,229786,217124
2.94,229907,217029
2.96,230051,217007
2.98,230013,217172
3,230095,217039
3.02,230263,217067
3.04,230205,217247
3.06,230279,217125
3.08,230394,217164
3.1,230372,217255
3.12,230188,217136
3.14,230011,217129
3.16,229743,217057
3.18,229381,216915
3.2,229237,216876
3.22,228961,216835
3.24,228834,216699
3.26,228731,216675
3.28,228556,216716
3.3,228347,216580
3.32,228347,216550
3.34,228318,216612
3.36,228344,216506
3.38,228358,216637
3.4,228404,216563
3.42,228406,216665
3.44,228436,216569
3.46,228407,216673
3.48,228433,216570
3.5,228461,216669
3.52,228471,216613
3.54,228562,216683
3.56,228596,216624
3.58,228662,216719
3.6,228655,216778
3.62,228862,216667
3.64,228801,216893
3.66,228860,216741
3.68,228940,216841
3.7,228981,216813
3.72,229177,216831
3.74,229095,217004
3.76,229190,216891
3.78,229179,216899
3.8,229288,216956
3.82,229338,216910
3.84,229405,216965
3.86,229464,217014
3.88,229565,216948
3.9,229590,217030
3.92,229660,217113
3.94,229737,217003
3.96,229757,217086
3.98,229884,217192
4,229979,217092
4.02,229964,217173
4.04,230086,217299
4.06,230081,217138
4.08,229972,217189
4.1,229715,217271
4.12,229480,217062
4.14,229328,216936
4.16,228941,217012
4.18,228755,216823
4.2,228584,216732
4.22,228414,216855
4.24,228307,216640
4.26,228291,216606
4.28,228070,216738
4.3,228087,216591
4.32,228090,216632
4.34,228166,216625
4.36,228208,216673
4.38,228232,216599
4.4,228238,216668
4.42,228275,216652
4.44,228259,216695
4.46,228253,216639
4.48,228317,216721
4.5,228341,216687
4.52,228367,216743
4.54,228418,216854
4.56,228588,216682
4.58,228570,216915
4.6,228569,216803
4.62,228698,216876
4.64,228707,216847
4.66,228899,216862
4.68,228843,217043
4.7,228940,216898
4.72,228916,216925
4.74,229007,217052
4.76,229106,216913
4.78,229067,216981
4.8,229203,217126
4.82,229297,216952
4.84,229269,217048
4.86,229393,217157
4.88,229465,217004
4.9,229506,217100
4.92,229607,217281
4.94,229653,217160
4.96,229854,217172
4.98,229793,217334
5,229859,217222
5.02,229903,217224
5.04,229896,217375
5.06,229731,217166
5.08,229577,217123
5.1,229128,217193
5.12,228879,216970
5.14,228750,216860
5.16,228399,216946
5.18,228265,216774
5.2,228232,216671
5.22,227915,216783
5.24,227818,216623
5.26,227810,216555
5.28,227691,216660
