SEQ,X,Y,Z
0,-0.11,0.11,0.95
1,-0.12,0.12,0.95
2,-0.12,0.12,0.95
3,-0.12,0.12,0.95
4,-0.12,0.12,0.95
5,-0.12,0.12,0.95
6,-0.12,0.12,0.95
7,-0.12,0.12,0.95
8,-0.12,0.12,0.95
9,-0.12,0.12,0.95
10,-0.12,0.12,0.95
11,-0.12,0.12,0.95
12,-0.12,0.12,0.93
13,-0.12,0.12,0.93
14,-0.12,0.12,0.93
15,-0.12,0.12,0.93
16,-0.12,0.12,0.93
17,-0.12,0.12,0.93
18,-0.12,0.12,0.93
19,-0.12,0.12,0.93
20,-0.12,0.12,0.93
21,-0.12,0.12,0.93
22,-0.12,0.12,0.93
23,-0.12,0.12,0.93
24,-0.12,0.12,0.96
25,-0.1,0.12,0.96
26,-0.1,0.12,0.96
27,-0.1,0.12,0.96
28,-0.1,0.12,0.96
29,-0.1,0.12,0.96
30,-0.1,0.12,0.96
31,-0.1,0.12,0.96
32,-0.1,0.12,0.96
33,-0.1,0.12,0.96
34,-0.1,0.12,0.96
35,-0.1,0.12,0.96
36,-0.1,0.12,0.97
37,-0.1,0.13,0.97
38,-0.1,0.13,0.97
39,-0.1,0.13,0.97
40,-0.1,0.13,0.97
41,-0.1,0.13,0.97
42,-0.1,0.13,0.97
43,-0.1,0.13,0.97
44,-0.1,0.13,0.97
45,-0.1,0.13,0.97
46,-0.1,0.13,0.97
47,-0.1,0.13,0.97
48,-0.1,0.13,0.97
49,-0.1,0.12,0.95
50,-0.12,0.12,0.99
51,-0.12,0.12,0.96
52,-0.14,0.12,0.96
53,-0.14,0.12,0.96
54,-0.14,0.12,0.96
55,-0.14,0.12,0.96
56,-0.14,0.12,0.96
57,-0.14,0.12,0.96
58,-0.14,0.12,0.96
59,-0.14,0.12,0.96
60,-0.14,0.12,0.96
61,-0.14,0.12,0.96
62,-0.14,0.12,0.96
63,-0.14,0.13,0.98
64,-0.14,0.13,0.98
65,-0.14,0.13,0.98
66,-0.14,0.13,0.98
67,-0.14,0.13,0.98
68,-0.14,0.13,0.98
69,-0.14,0.13,0.98
70,-0.14,0.13,0.98
71,-0.14,0.13,0.98
72,-0.14,0.13,0.98
73,-0.14,0.13,0.98
74,-0.14,0.13,0.98
75,-0.14,0.11,0.96
76,-0.13,0.11,0.96
77,-0.13,0.11,0.96
78,-0.13,0.11,0.96
79,-0.13,0.11,0.96
80,-0.13,0.11,0.96
81,-0.13,0.11,0.96
82,-0.13,0.11,0.96
83,-0.13,0.11,0.96
84,-0.13,0.11,0.96
85,-0.13,0.11,0.96
86,-0.13,0.11,0.96
87,-0.13,0.11,0.96
88,-0.12,0.11,0.96
89,-0.12,0.11,0.96
90,-0.12,0.11,0.96
91,-0.12,0.11,0.96
92,-0.12,0.11,0.96
93,-0.12,0.11,0.96
94,-0.12,0.11,0.96
95,-0.12,0.11,0.96
96,-0.12,0.11,0.96
97,-0.12,0.11,0.96
98,-0.12,0.11,0.96
99,-0.12,0.11,0.97
100,-0.12,0.11,0.94
101,-0.12,0.11,0.94
102,-0.12,0.11,0.94
103,-0.12,0.11,0.94
104,-0.12,0.11,0.94
105,-0.12,0.12,0.95
106,-0.13,0.12,0.95
107,-0.13,0.12,0.95
