SEQ,X,Y,Z
0,-0.03,-0.13,0.97
1,-0.03,-0.13,0.97
2,-0.03,-0.13,0.97
3,-0.03,-0.13,0.97
4,-0.03,-0.13,0.97
5,-0.03,-0.13,0.97
6,-0.03,-0.13,0.97
7,-0.03,-0.13,0.97
8,-0.03,-0.13,0.97
9,-0.03,-0.13,0.97
10,-0.03,-0.13,0.97
11,-0.03,-0.13,0.97
12,-0.04,-0.14,0.98
13,-0.04,-0.14,0.98
14,-0.04,-0.14,0.98
15,-0.04,-0.14,0.98
16,-0.04,-0.14,0.98
17,-0.04,-0.14,0.98
18,-0.04,-0.14,0.98
19,-0.04,-0.14,0.98
20,-0.04,-0.14,0.98
21,-0.04,-0.14,0.98
22,-0.04,-0.14,0.98
23,-0.04,-0.14,0.98
24,-0.04,-0.13,1
25,-0.04,-0.13,1
26,-0.04,-0.13,1
27,-0.04,-0.13,1
28,-0.04,-0.13,1
29,-0.04,-0.13,1
30,-0.04,-0.13,1
31,-0.04,-0.13,1
32,-0.04,-0.13,1
33,-0.04,-0.13,1
34,-0.04,-0.13,1
35,-0.04,-0.13,1
36,-0.04,-0.13,0.99
37,-0.05,-0.13,0.99
38,-0.05,-0.13,0.99
39,-0.05,-0.13,0.99
40,-0.05,-0.13,0.99
41,-0.05,-0.13,0.99
42,-0.05,-0.13,0.99
43,-0.05,-0.13,0.99
44,-0.05,-0.13,0.99
45,-0.05,-0.13,0.99
46,-0.05,-0.13,0.99
47,-0.05,-0.13,0.99
48,-0.05,-0.13,0.99
49,-0.05,-0.14,1
50,-0.04,-0.12,0.98
51,-0.04,-0.12,0.98
52,-0.04,-0.12,0.98
53,-0.04,-0.12,0.98
54,-0.04,-0.12,0.98
55,-0.04,-0.12,0.98
56,-0.04,-0.12,0.98
57,-0.04,-0.12,0.98
58,-0.04,-0.12,1
59,-0.05,-0.13,1
60,-0.05,-0.13,1
61,-0.05,-0.13,1
62,-0.05,-0.13,1
63,-0.05,-0.13,1
64,-0.05,-0.13,1
65,-0.05,-0.13,1
66,-0.05,-0.13,1
67,-0.05,-0.13,1
68,-0.05,-0.13,1
69,-0.05,-0.13,1
70,-0.05,-0.13,0.98
71,-0.05,-0.12,0.98
72,-0.05,-0.12,0.98
73,-0.05,-0.12,0.98
74,-0.05,-0.12,0.98
75,-0.05,-0.12,0.98
76,-0.05,-0.12,0.98
77,-0.05,-0.12,0.98
78,-0.05,-0.12,0.98
79,-0.05,-0.12,0.98
80,-0.05,-0.12,0.98
81,-0.05,-0.12,0.98
82,-0.05,-0.12,0.99
83,-0.05,-0.12,0.99
84,-0.05,-0.12,0.99
85,-0.05,-0.12,0.99
86,-0.05,-0.12,0.99
87,-0.05,-0.12,0.99
88,-0.05,-0.12,0.99
89,-0.05,-0.12,0.99
90,-0.05,-0.12,0.99
91,-0.05,-0.12,0.99
92,-0.05,-0.12,0.99
93,-0.05,-0.12,0.99
94,-0.05,-0.12,0.98
95,-0.04,-0.13,0.98
96,-0.04,-0.13,0.98
97,-0.04,-0.13,0.98
98,-0.04,-0.13,0.98
99,-0.04,-0.13,0.98
100,-0.05,-0.13,0.99
101,-0.05,-0.13,0.99
102,-0.05,-0.13,0.99
103,-0.05,-0.13,0.99
104,-0.05,-0.13,0.99
105,-0.05,-0.13,0.99
106,-0.05,-0.13,0.99
107,-0.05,-0.13,0.99
108,-0.05,-0.13,0.98
109,-0.04,-0.12,0.98
110,-0.04,-0.12,0.98
111,-0.04,-0.12,0.98
112,-0.04,-0.12,0.98
113,-0.04,-0.12,0.98
114,-0.04,-0.12,0.98
115,-0.04,-0.12,0.98
116,-0.04,-0.12,0.98
117,-0.04,-0.12,0.98
118,-0.04,-0.12,0.98
119,-0.04,-0.12,0.98
120,-0.04,-0.12,0.99
121,-0.04,-0.13,0.99
122,-0.04,-0.13,0.99
123,-0.04,-0.13,0.99
124,-0.04,-0.13,0.99
125,-0.04,-0.13,0.99
126,-0.04,-0.13,0.99
127,-0.04,-0.13,0.99
128,-0.04,-0.13,0.99
129,-0.04,-0.13,0.99
130,-0.04,-0.13,0.99
131,-0.04,-0.13,0.99
132,-0.04,-0.13,0.97
133,-0.04,-0.14,0.97
134,-0.04,-0.14,0.97
135,-0.04,-0.14,0.97
136,-0.04,-0.14,0.97
137,-0.04,-0.14,0.97
138,-0.04,-0.14,0.97
139,-0.04,-0.14,0.97
140,-0.04,-0.14,0.97
141,-0.04,-0.14,0.97
142,-0.04,-0.14,0.97
143,-0.04,-0.14,0.97
144,-0.04,-0.14,0.97
145,-0.05,-0.14,0.96
146,-0.05,-0.14,0.96
147,-0.05,-0.14,0.96
148,-0.05,-0.14,0.96
149,-0.05,-0.14,0.96
150,-0.04,-0.13,0.98
151,-0.04,-0.13,0.98
152,-0.04,-0.13,0.98
153,-0.04,-0.13,0.98
154,-0.04,-0.13,0.98
155,-0.04,-0.13,0.98
156,-0.04,-0.13,0.98
157,-0.04,-0.13,0.98
158,-0.04,-0.13,0.98
159,-0.04,-0.13,0.98
160,-0.04,-0.13,0.98
161,-0.04,-0.13,0.98
162,-0.04,-0.13,0.98
163,-0.04,-0.13,0.98
164,-0.04,-0.13,0.98
165,-0.04,-0.13,0.98
166,-0.04,-0.13,0.98
167,-0.04,-0.13,0.98
168,-0.04,-0.13,0.98
169,-0.05,-0.13,0.98
170,-0.05,-0.13,0.98
171,-0.05,-0.13,0.98
172,-0.05,-0.13,0.98
173,-0.05,-0.13,0.98
174,-0.05,-0.13,0.98
175,-0.05,-0.13,0.98
176,-0.05,-0.13,0.98
177,-0.05,-0.13,0.98
178,-0.05,-0.13,0.98
179,-0.05,-0.13,0.98
180,-0.05,-0.13,0.98
181,-0.05,-0.12,0.99
182,-0.05,-0.12,0.99
183,-0.05,-0.12,0.99
184,-0.05,-0.12,0.99
185,-0.05,-0.12,0.99
186,-0.05,-0.12,0.99
187,-0.05,-0.12,0.99
188,-0.05,-0.12,0.99
189,-0.05,-0.12,0.99
190,-0.05,-0.12,0.99
191,-0.05,-0.12,0.99
192,-0.05,-0.12,0.99
193,-0.05,-0.12,0.97
194,-0.05,-0.12,0.97
195,-0.05,-0.12,0.97
196,-0.05,-0.12,0.97
197,-0.05,-0.12,0.97
198,-0.05,-0.12,0.97
199,-0.05,-0.12,0.97
200,-0.05,-0.13,0.98
201,-0.05,-0.13,0.98
202,-0.05,-0.13,0.98
