SEQ,X,Y,Z
0,0.03,-0.01,0.98
1,0.03,-0.01,0.98
2,0.03,-0.01,0.98
3,0.03,-0.01,0.98
4,0.03,-0.01,0.98
5,0.03,-0.01,0.98
6,0.03,-0.01,0.98
7,0.03,-0.01,0.98
8,0.03,-0.01,0.98
9,0.03,-0.01,0.98
10,0.03,-0.01,0.98
11,0.03,-0.01,0.98
12,0.03,-0.02,0.98
13,0.03,-0.02,0.98
14,0.03,-0.02,0.98
15,0.03,-0.02,0.98
16,0.03,-0.02,0.98
17,0.03,-0.02,0.98
18,0.03,-0.02,0.98
19,0.03,-0.02,0.98
20,0.03,-0.02,0.98
21,0.03,-0.02,0.98
22,0.03,-0.02,0.98
23,0.03,-0.02,0.98
24,0.03,-0.02,1
25,0.03,-0.02,1
26,0.03,-0.02,1
27,0.03,-0.02,1
28,0.03,-0.02,1
29,0.03,-0.02,1
30,0.03,-0.02,1
31,0.03,-0.02,1
32,0.03,-0.02,1
33,0.03,-0.02,1
34,0.03,-0.02,1
35,0.03,-0.02,1
36,0.03,-0.02,1.03
37,0.03,-0.01,1.03
38,0.03,-0.01,1.03
39,0.03,-0.01,1.03
40,0.03,-0.01,1.03
41,0.03,-0.01,1.03
42,0.03,-0.01,1.03
43,0.03,-0.01,1.03
44,0.03,-0.01,1.03
45,0.03,-0.01,1.03
46,0.03,-0.01,1.03
47,0.03,-0.01,1.03
48,0.03,-0.01,0.99
49,0.02,-0.02,0.99
50,0.02,-0.01,0.99
51,0.01,-0.01,0.99
52,0.01,-0.01,0.99
53,0.01,-0.01,0.99
54,0.01,-0.01,0.99
55,0.01,-0.01,0.99
56,0.01,-0.01,0.99
57,0.01,-0.01,0.99
58,0.01,-0.01,0.99
59,0.01,-0.01,0.99
60,0.01,-0.01,0.99
61,0.01,-0.01,0.99
62,0.02,-0.01,0.99
63,0.02,-0.01,0.99
64,0.02,-0.01,0.99
65,0.02,-0.01,0.99
66,0.02,-0.01,0.99
67,0.02,-0.01,0.99
68,0.02,-0.01,0.99
69,0.02,-0.01,0.99
70,0.02,-0.01,0.99
71,0.02,-0.01,0.99
72,0.02,-0.01,0.99
73,0.02,-0.01,0.99
74,0,-0.01,1
75,0,-0.01,1
76,0,-0.01,1
77,0,-0.01,1
78,0,-0.01,1
79,0,-0.01,1
80,0,-0.01,1
81,0,-0.01,1
82,0,-0.01,1
83,0,-0.01,1
84,0,-0.01,1
85,0,-0.01,1
86,0.03,-0.01,1
87,0.03,-0.01,1
88,0.03,-0.01,1
89,0.03,-0.01,1
90,0.03,-0.01,1
91,0.03,-0.01,1
92,0.03,-0.01,1
93,0.03,-0.01,1
94,0.03,-0.01,1
95,0.03,-0.01,1
96,0.03,-0.01,1
97,0.03,-0.01,1
98,0.03,-0.01,0.99
99,0.03,-0.01,0.99
100,0.02,-0.01,0.99
101,0.02,-0.01,0.99
102,0.02,-0.01,0.99
103,0.02,-0.01,0.99
104,0.04,-0.01,0.97
105,0.04,-0.01,0.97
106,0.04,-0.01,0.97
107,0.04,-0.01,0.97
108,0.04,-0.01,0.97
109,0.04,-0.01,0.97
110,0.04,-0.01,0.97
111,0.04,-0.01,0.97
112,0.04,-0.01,0.97
113,0.04,-0.01,0.97
114,0.04,-0.01,0.97
115,0.04,-0.01,0.97
116,0.02,-0.01,0.98
117,0.02,-0.01,0.98
118,0.02,-0.01,0.98
119,0.02,-0.01,0.98
120,0.02,-0.01,0.98
121,0.02,-0.01,0.98
122,0.02,-0.01,0.98
123,0.02,-0.01,0.98
124,0.02,-0.01,0.98
125,0.02,-0.01,0.98
126,0.02,-0.01,0.98
127,0.02,-0.01,0.98
128,0.03,-0.02,0.98
129,0.03,-0.02,0.98
130,0.03,-0.02,0.98
131,0.03,-0.02,0.98
132,0.03,-0.02,0.98
133,0.03,-0.02,0.98
134,0.03,-0.02,0.98
135,0.03,-0.02,0.98
136,0.03,-0.02,0.98
137,0.03,-0.02,0.98
138,0.03,-0.02,0.98
139,0.03,-0.02,0.98
140,0.04,-0.01,0.99
141,0.04,-0.01,0.99
142,0.04,-0.01,0.99
143,0.04,-0.01,0.99
144,0.04,-0.01,0.99
145,0.04,-0.01,0.99
146,0.04,-0.01,0.99
147,0.04,-0.01,0.99
148,0.04,-0.01,0.99
149,0.04,-0.01,0.99
150,0.01,-0.01,0.99
151,0.01,-0.01,0.99
152,0.01,-0.01,0.99
153,0.01,-0.01,0.99
154,0.01,-0.01,1
155,0.01,-0.01,1
156,0.01,-0.01,1
157,0.01,-0.01,1
158,0.01,-0.01,1
159,0.01,-0.01,1
160,0.01,-0.01,1
161,0.01,-0.01,1
162,0.01,-0.01,1
163,0.01,-0.01,1
164,0.01,-0.01,1
165,0.01,-0.01,1
166,0.02,-0.01,0.99
167,0.02,-0.01,0.99
168,0.02,-0.01,0.99
169,0.02,-0.01,0.99
170,0.02,-0.01,0.99
171,0.02,-0.01,0.99
172,0.02,-0.01,0.99
173,0.02,-0.01,0.99
174,0.02,-0.01,0.99
175,0.02,-0.01,0.99
176,0.02,-0.01,0.99
177,0.02,-0.01,0.99
178,0,-0.01,1.01
179,0,-0.01,1.01
180,0,-0.01,1.01
181,0,-0.01,1.01
182,0,-0.01,1.01
183,0,-0.01,1.01
184,0,-0.01,1.01
185,0,-0.01,1.01
186,0,-0.01,1.01
187,0,-0.01,1.01
188,0,-0.01,1.01
189,0,-0.01,1.01
190,0,-0.01,1.01
191,0,-0.01,1.01
192,0,-0.01,1.01
193,0,-0.01,1.01
194,0,-0.01,1.01
195,0,-0.01,1.01
196,0,-0.01,1.01
197,0,-0.01,1.01
198,0,-0.01,1.01
199,0,-0.01,1.01
200,0.02,-0.01,0.99
201,0.02,-0.01,0.99
202,0.02,-0.01,0.99
203,0.04,-0.01,0.97
204,0.04,-0.01,0.97
205,0.04,-0.01,0.97
206,0.04,-0.01,0.97
207,0.04,-0.01,0.97
208,0.04,-0.01,0.97
209,0.04,-0.01,0.97
210,0.04,-0.01,0.97
211,0.04,-0.01,0.97
212,0.04,-0.01,0.97
213,0.04,-0.01,0.97
214,0.04,-0.01,0.97
215,0.03,-0.01,0.99
216,0.03,-0.01,0.99
217,0.03,-0.01,0.99
218,0.03,-0.01,0.99
219,0.03,-0.01,0.99
220,0.03,-0.01,0.99
221,0.03,-0.01,0.99
222,0.03,-0.01,0.99
223,0.03,-0.01,0.99
224,0.03,-0.01,0.99
225,0.03,-0.01,0.99
226,0.03,-0.01,0.99
227,0.05,-0.01,0.99
228,0.05,-0.01,0.99
229,0.05,-0.01,0.99
230,0.05,-0.01,0.99
231,0.05,-0.01,0.99
232,0.05,-0.01,0.99
233,0.05,-0.01,0.99
234,0.05,-0.01,0.99
235,0.05,-0.01,0.99
236,0.05,-0.01,0.99
237,0.05,-0.01,0.99
