SEQ,X,Y,Z
0,0.02,-0.02,0.99
1,0.02,-0.02,0.99
2,0.02,-0.02,0.99
3,0.01,-0.01,0.99
4,0.01,-0.01,0.99
5,0.01,-0.01,0.99
6,0.01,-0.01,0.99
7,0.01,-0.01,0.99
8,0.01,-0.01,0.99
9,0.01,-0.01,0.99
10,0.01,-0.01,0.99
11,0.01,-0.01,0.99
12,0.01,-0.01,0.99
13,0.01,-0.01,0.99
14,0.01,-0.01,0.99
15,0.02,-0.01,1
16,0.02,-0.01,1
17,0.02,-0.01,1
18,0.02,-0.01,1
19,0.02,-0.01,1
20,0.02,-0.01,1
21,0.02,-0.01,1
22,0.02,-0.01,1
23,0.02,-0.01,1
24,0.02,-0.01,1
25,0.02,-0.01,1
26,0.02,-0.01,1
27,0.02,-0.01,1.02
28,0.03,-0.01,1.02
29,0.03,-0.01,1.02
30,0.03,-0.01,1.02
31,0.03,-0.01,1.02
32,0.03,-0.01,1.02
33,0.03,-0.01,1.02
34,0.03,-0.01,1.02
35,0.03,-0.01,1.02
36,0.03,-0.01,1.02
37,0.03,-0.01,1.02
38,0.03,-0.01,1.02
39,0.03,-0.02,1.01
40,0.03,-0.02,1.01
41,0.03,-0.02,1.01
42,0.03,-0.02,1.01
43,0.03,-0.02,1.01
44,0.03,-0.02,1.01
45,0.03,-0.02,1.01
46,0.03,-0.02,1.01
47,0.03,-0.02,1.01
48,0.03,-0.02,1.01
49,0.03,-0.02,1.01
50,0.02,-0.01,0.99
51,0.02,-0,0.95
52,0.01,-0,0.95
53,0.01,-0,0.95
54,0.01,-0,0.95
55,0.01,-0,0.95
56,0.01,-0,0.95
57,0.01,-0,0.95
58,0.01,-0,0.95
59,0.01,-0,0.95
60,0.01,-0,0.95
61,0.01,-0,0.95
62,0.01,-0,0.95
63,0.03,-0,1
64,0.03,-0,1
65,0.03,-0,1
66,0.03,-0,1
67,0.03,-0,1
68,0.03,-0,1
69,0.03,-0,1
70,0.03,-0,1
71,0.03,-0,1
72,0.03,-0,1
73,0.03,-0,1
74,0.03,-0,1
75,0.01,-0.01,0.98
76,0.01,-0.01,0.98
77,0.01,-0.01,0.98
78,0.01,-0.01,0.98
79,0.01,-0.01,0.98
80,0.01,-0.01,0.98
81,0.01,-0.01,0.98
82,0.01,-0.01,0.98
83,0.01,-0.01,0.98
84,0.01,-0.01,0.98
85,0.01,-0.01,0.98
86,0.01,-0.01,0.98
87,0.01,-0.01,1.01
88,0.01,-0.01,1.01
89,0.01,-0.01,1.01
90,0.01,-0.01,1.01
91,0.01,-0.01,1.01
92,0.01,-0.01,1.01
93,0.01,-0.01,1.01
94,0.01,-0.01,1.01
95,0.01,-0.01,1.01
96,0.01,-0.01,1.01
97,0.01,-0.01,1.01
98,0.01,-0.01,1.01
99,0.01,-0.01,1
100,0.02,-0.01,0.99
101,0.03,-0.02,0.99
102,0.03,-0.02,0.99
103,0.03,-0.02,0.99
104,0.03,-0.02,0.99
105,0.03,-0.02,0.99
106,0.03,-0.02,0.99
107,0.03,-0.02,0.99
108,0.03,-0.02,0.99
109,0.03,-0.02,0.99
110,0.03,-0.02,0.99
111,0.03,-0.02,0.99
112,0.03,-0.01,1
113,0.02,-0.01,1
114,0.02,-0.01,1
115,0.02,-0.01,1
116,0.02,-0.01,1
117,0.02,-0.01,1
118,0.02,-0.01,1
119,0.02,-0.01,1
120,0.02,-0.01,1
121,0.02,-0.01,1
122,0.02,-0.01,1
123,0.02,-0.01,1
124,0.02,-0.01,1.01
125,0.04,-0.01,1.01
126,0.04,-0.01,1.01
127,0.04,-0.01,1.01
128,0.04,-0.01,1.01
129,0.04,-0.01,1.01
130,0.04,-0.01,1.01
131,0.04,-0.01,1.01
132,0.04,-0.01,1.01
133,0.04,-0.01,1.01
134,0.04,-0.01,1.01
135,0.04,-0.01,1.01
136,0.04,-0.01,1.02
137,0.05,-0.01,1.02
138,0.05,-0.01,1.02
139,0.05,-0.01,1.02
140,0.05,-0.01,1.02
141,0.05,-0.01,1.02
142,0.05,-0.01,1.02
143,0.05,-0.01,1.02
144,0.05,-0.01,1.02
145,0.05,-0.01,1.02
146,0.05,-0.01,1.02
147,0.05,-0.01,1.02
148,0.05,-0.01,1.01
149,0.01,-0.01,1.01
150,0.01,-0.01,0.99
151,0.01,-0.01,0.99
152,0.01,-0.01,0.99
153,0.01,-0.01,1
154,0.01,-0.02,0.99
155,0.01,-0.02,0.99
156,0.01,-0.02,0.99
157,0.01,-0.02,0.99
158,0.01,-0.02,0.99
159,0.01,-0.02,0.99
160,0.01,-0.02,0.99
161,0.01,-0.02,0.99
162,0.01,-0.02,0.99
163,0.01,-0.02,0.99
164,0.01,-0.02,0.99
165,0.01,-0.02,0.99
166,0.02,-0.02,0.99
167,0.02,-0.02,0.99
168,0.02,-0.02,0.99
169,0.02,-0.02,0.99
170,0.02,-0.02,0.99
171,0.02,-0.02,0.99
172,0.02,-0.02,0.99
173,0.02,-0.02,0.99
174,0.02,-0.02,0.99
175,0.02,-0.02,0.99
176,0.02,-0.02,0.99
177,0.02,-0.02,0.99
178,0.01,-0.01,0.99
179,0.01,-0.01,0.99
180,0.01,-0.01,0.99
181,0.01,-0.01,0.99
182,0.01,-0.01,0.99
183,0.01,-0.01,0.99
184,0.01,-0.01,0.99
185,0.01,-0.01,0.99
186,0.01,-0.01,0.99
187,0.01,-0.01,0.99
188,0.01,-0.01,0.99
189,0.01,-0.01,0.99
190,0.01,-0.02,0.99
191,0.01,-0.02,0.99
192,0.01,-0.02,0.99
193,0.01,-0.02,0.99
194,0.01,-0.02,0.99
195,0.01,-0.02,0.99
196,0.01,-0.02,0.99
197,0.01,-0.02,0.99
198,0.01,-0.02,0.99
199,0.01,-0.02,0.99
200,0.02,-0.01,0.99
201,0.02,-0.01,0.99
202,0.02,-0.01,0.99
203,0.02,-0.01,0.99
204,0.02,-0.01,0.99
205,0.02,-0.01,0.99
206,0.02,-0.01,0.99
207,0.02,-0.01,0.99
208,0.02,-0.01,0.99
209,0.02,-0.01,0.99
210,0.02,-0.04,0.99
211,0.04,-0.04,0.99
212,0.04,-0.04,0.99
213,0.04,-0.04,0.99
214,0.04,-0.04,0.99
215,0.04,-0.04,0.99
216,0.04,-0.04,0.99
217,0.04,-0.04,0.99
218,0.04,-0.04,0.99
219,0.04,-0.04,0.99
220,0.04,-0.04,0.99
221,0.04,-0.04,0.99
222,0.04,-0.02,0.99
223,0.03,-0.02,0.99
224,0.03,-0.02,0.99
225,0.03,-0.02,0.99
226,0.03,-0.02,0.99
227,0.03,-0.02,0.99
228,0.03,-0.02,0.99
229,0.03,-0.02,0.99
230,0.03,-0.02,0.99
231,0.03,-0.02,0.99
232,0.03,-0.02,0.99
233,0.03,-0.02,0.99
234,0.03,-0.01,0.98
235,0.04,-0.01,0.98
236,0.04,-0.01,0.98
237,0.04,-0.01,0.98
238,0.04,-0.01,0.98
239,0.04,-0.01,0.98
240,0.04,-0.01,0.98
241,0.04,-0.01,0.98
242,0.04,-0.01,0.98
243,0.04,-0.01,0.98
244,0.04,-0.01,0.98
245,0.04,-0.01,0.98
246,0.04,-0.01,1.02
247,0.04,0,1.02
248,0.04,0,1.02
249,0.04,0,1.02
250,0.02,-0.01,0.99
251,0.02,-0.01,0.99
252,0.02,-0.01,0.99
253,0.02,-0.01,0.99
254,0.02,-0.01,0.99
255,0.02,-0.01,0.99
256,0.01,-0.02,0.99
257,0.01,-0.02,0.99
258,0.01,-0.02,0.99
259,0.01,-0.02,0.99
260,0.01,-0.02,0.99
261,0.01,-0.02,0.99
262,0.01,-0.02,0.99
263,0.01,-0.02,0.99
264,0.01,-0.02,0.99
265,0.01,-0.02,0.99
266,0.01,-0.02,0.99
267,0.01,-0.02,0.99
268,0.02,-0.01,0.99
269,0.02,-0.01,0.99
270,0.02,-0.01,0.99
271,0.02,-0.01,0.99
272,0.02,-0.01,0.99
273,0.02,-0.01,0.99
274,0.02,-0.01,0.99
275,0.02,-0.01,0.99
276,0.02,-0.01,0.99
277,0.02,-0.01,0.99
278,0.02,-0.01,0.99
279,0.02,-0.01,0.99
280,0.02,0.04,0.97
281,0.05,0.04,0.97
282,0.05,0.04,0.97
283,0.05,0.04,0.97
284,0.05,0.04,0.97
285,0.05,0.04,0.97
286,0.05,0.04,0.97
287,0.05,0.04,0.97
288,0.05,0.04,0.97
289,0.05,0.04,0.97
290,0.05,0.04,0.97
291,0.05,0.04,0.97
292,0.05,0.01,1.01
293,0.02,0.01,1.01
294,0.02,0.01,1.01
295,0.02,0.01,1.01
296,0.02,0.01,1.01
297,0.02,0.01,1.01
298,0.02,0.01,1.01
299,0.02,0.01,1.01
300,0.29,0.74,1
301,0.29,0.74,1
302,0.29,0.74,1
303,0.29,0.74,1
304,0.29,0.74,1
305,0.29,0.74,1.03
306,0.5,1.23,1.03
307,0.5,1.23,1.03
308,0.5,1.23,1.03
309,0.5,1.23,1.03
310,0.5,1.23,1.03
311,0.5,1.23,1.03
312,0.5,1.23,1.03
313,0.5,1.23,1.03
314,0.5,1.23,1.03
315,0.5,1.23,1.03
316,0.5,1.23,1.03
317,0.5,1.23,1.03
318,0.97,1.16,1.01
319,0.97,1.16,1.01
320,0.97,1.16,1.01
321,0.97,1.16,1.01
322,0.97,1.16,1.01
323,0.97,1.16,1.01
324,0.97,1.16,1.01
325,0.97,1.16,1.01
326,0.97,1.16,1.01
327,0.97,1.16,1.01
328,0.97,1.16,1.01
329,0.97,1.16,1.01
330,1.23,0.89,1.02
331,1.23,0.89,1.02
332,1.23,0.89,1.02
333,1.23,0.89,1.02
334,1.23,0.89,1.02
335,1.23,0.89,1.02
336,1.23,0.89,1.02
337,1.23,0.89,1.02
338,1.23,0.89,1.02
339,1.23,0.89,1.02
340,1.23,0.89,1.02
341,1.23,0.89,1.02
342,1.28,0.4,0.93
343,1.28,0.4,0.93
344,1.28,0.4,0.93
345,1.28,0.4,0.93
346,1.28,0.4,0.93
347,1.28,0.4,0.93
348,1.28,0.4,0.93
349,1.28,0.4,0.93
350,0.34,-0.42,0.97
351,0.34,-0.42,0.97
352,0.34,-0.42,0.97
353,0.48,-0.32,0.97
354,0.48,-0.32,0.97
355,0.48,-0.32,0.97
356,0.48,-0.32,0.97
357,0.48,-0.32,0.97
358,0.48,-0.32,0.97
359,0.48,-0.32,0.97
360,0.48,-0.32,0.97
361,0.48,-0.32,0.97
362,0.48,-0.32,0.97
363,0.48,-0.32,0.97
364,0.48,-0.32,0.97
365,0.49,-0.49,1
366,0.49,-0.49,1
367,0.49,-0.49,1
368,0.49,-0.49,1
369,0.49,-0.49,1
370,0.49,-0.49,1
371,0.49,-0.49,1
372,0.49,-0.49,1
373,0.49,-0.49,1
374,0.49,-0.49,1
375,0.49,-0.49,1
376,0.49,-0.49,1
377,0.23,0.74,1
378,0.23,0.74,1
379,0.23,0.74,1
380,0.23,0.74,1
381,0.23,0.74,1
382,0.23,0.74,1
383,0.23,0.74,1
384,0.23,0.74,1
385,0.23,0.74,1
386,0.23,0.74,1
387,0.23,0.74,1
388,0.23,0.74,1
389,0.77,0.34,1.15
390,0.78,0.34,1.15
391,0.78,0.34,1.15
392,0.78,0.34,1.15
393,0.78,0.34,1.15
394,0.78,0.34,1.15
395,0.78,0.34,1.15
396,0.78,0.34,1.15
397,0.78,0.34,1.15
398,0.78,0.34,1.15
399,0.78,0.34,1.15
400,0.07,-0.16,0.86
401,0.07,-0.16,0.86
402,0.07,-0.16,0.86
403,0.07,-0.16,0.86
404,0.07,-0.16,0.86
405,0.07,-0.16,0.88
406,0.02,-0.31,0.88
407,0.02,-0.31,0.88
408,0.02,-0.31,0.88
409,0.02,-0.31,0.88
410,0.02,-0.31,0.88
411,0.02,-0.31,0.88
412,0.02,-0.31,0.88
413,0.02,-0.31,0.88
414,0.02,-0.31,0.88
415,0.02,-0.31,0.88
416,0.02,-0.31,0.88
417,0.02,-0.31,0.92
418,-0.02,-0.29,0.92
419,-0.02,-0.29,0.92
420,-0.02,-0.29,0.92
421,-0.02,-0.29,0.92
422,-0.02,-0.29,0.92
423,-0.02,-0.29,0.92
424,-0.02,-0.29,0.92
425,-0.02,-0.29,0.92
