SEQ,X,Y,Z
0,-0.15,0.06,0.91
1,-0.15,0.06,0.91
2,-0.15,0.06,0.91
3,-0.16,0.07,0.92
4,-0.16,0.07,0.92
5,-0.16,0.07,0.92
6,-0.16,0.07,0.92
7,-0.16,0.07,0.92
8,-0.16,0.07,0.92
9,-0.16,0.07,0.92
10,-0.16,0.07,0.92
11,-0.16,0.07,0.92
12,-0.16,0.07,0.92
13,-0.16,0.07,0.92
14,-0.16,0.07,0.92
15,-0.16,0.06,0.92
16,-0.16,0.06,0.92
17,-0.16,0.06,0.92
18,-0.16,0.06,0.92
19,-0.16,0.06,0.92
20,-0.16,0.06,0.92
21,-0.16,0.06,0.92
22,-0.16,0.06,0.92
23,-0.16,0.06,0.92
24,-0.16,0.06,0.92
25,-0.16,0.06,0.92
26,-0.16,0.06,0.92
27,-0.16,0.09,0.91
28,-0.17,0.09,0.91
29,-0.17,0.09,0.91
30,-0.17,0.09,0.91
31,-0.17,0.09,0.91
32,-0.17,0.09,0.91
33,-0.17,0.09,0.91
34,-0.17,0.09,0.91
35,-0.17,0.09,0.91
36,-0.17,0.09,0.91
37,-0.17,0.09,0.91
38,-0.17,0.09,0.91
39,-0.17,0.08,0.94
40,-0.15,0.08,0.94
41,-0.15,0.08,0.94
42,-0.15,0.08,0.94
43,-0.15,0.08,0.94
44,-0.15,0.08,0.94
45,-0.15,0.08,0.94
46,-0.15,0.08,0.94
47,-0.15,0.08,0.94
48,-0.15,0.08,0.94
49,-0.15,0.08,0.94
50,-0.1,-0,0.96
51,-0.1,-0,0.96
52,-0.1,-0,0.87
53,-0.11,0.01,0.87
54,-0.11,0.01,0.87
55,-0.11,0.01,0.87
56,-0.11,0.01,0.87
57,-0.11,0.01,0.87
58,-0.11,0.01,0.87
59,-0.11,0.01,0.87
60,-0.11,0.01,0.87
61,-0.11,0.01,0.87
62,-0.11,0.01,0.87
63,-0.11,0.01,0.87
64,-0.11,0.03,0.89
65,-0.1,0.03,0.89
