NUM,SEQ,IR,RED,X,Y,Z
1,0,127217,95452,-0.21,-0.55,0.8
1,1,127141,95522,-0.21,-0.55,0.8
1,2,127302,95537,-0.22,-0.56,0.8
1,3,127350,95548,-0.22,-0.55,0.8
1,4,127323,95556,-0.21,-0.55,0.8
1,5,127393,95602,-0.22,-0.55,0.8
1,6,127511,95585,-0.22,-0.55,0.8
1,7,127516,95609,-0.22,-0.54,0.8
1,8,127663,95614,-0.22,-0.55,0.8
1,9,127691,95669,-0.22,-0.55,0.79
1,10,127798,95707,-0.22,-0.55,0.8
1,11,127836,95676,-0.22,-0.55,0.81
1,12,127865,95737,-0.22,-0.56,0.79
1,13,127929,95740,-0.22,-0.55,0.8
1,14,127879,95726,-0.21,-0.55,0.81
1,15,127972,95732,-0.22,-0.55,0.79
1,16,127984,95756,-0.22,-0.55,0.8
1,17,128077,95702,-0.22,-0.54,0.8
1,18,127607,95526,-0.22,-0.55,0.8
1,19,127195,95493,-0.21,-0.55,0.8
1,20,127216,95493,-0.21,-0.55,0.79
1,21,127227,95473,-0.22,-0.55,0.8
1,22,127120,95431,-0.22,-0.55,0.8
1,23,127104,95439,-0.22,-0.55,0.79
1,24,127178,95509,-0.22,-0.55,0.8
1,25,127342,95521,-0.22,-0.54,0.8
1,26,127335,95553,-0.22,-0.55,0.8
1,27,127380,95550,-0.22,-0.55,0.8
1,28,127432,95572,-0.22,-0.55,0.8
1,29,127536,95609,-0.22,-0.55,0.8
1,30,127600,95645,-0.22,-0.54,0.8
1,31,127713,95605,-0.22,-0.54,0.79
1,32,127736,95680,-0.22,-0.54,0.8
1,33,127852,95650,-0.22,-0.55,0.81
1,34,127857,95671,-0.22,-0.54,0.8
1,35,127907,95686,-0.22,-0.54,0.8
1,36,127920,95738,-0.22,-0.54,0.79
1,37,127988,95654,-0.22,-0.54,0.79
1,38,127949,95716,-0.22,-0.55,0.81
1,39,127950,95651,-0.23,-0.54,0.8
1,40,127475,95478,-0.22,-0.55,0.8
1,41,127152,95487,-0.22,-0.55,0.8
1,42,127168,95408,-0.22,-0.54,0.8
1,43,127115,95451,-0.22,-0.55,0.8
1,44,127045,95426,-0.22,-0.55,0.8
1,45,127017,95466,-0.22,-0.55,0.8
1,46,127171,95444,-0.22,-0.55,0.8
1,47,127221,95488,-0.22,-0.55,0.8
1,48,127265,95444,-0.22,-0.54,0.8
1,49,127235,95530,-0.22,-0.55,0.8
