IR,RED,X,Y,Z,HR,RR,SP02,ERROR_RATE
260247,192972,0.016013,-0.0240195,0.990805,93.75,20.2702702702703,94.845,0.351111111111109
259786,192815,0.016013,-0.0300244,0.982799,83.3333333333333,20.2702702702703,94.845,0.351111111111109
259500,192744,0.0130106,-0.0280228,0.983799,83.3333333333333,20.2702702702703,94.845,0.351111111111109
259270,192666,0.0130106,-0.0250203,0.983799,83.3333333333333,20.2702702702703,94.845,0.351111111111109
259138,192624,0.0150122,-0.0290236,0.982799,83.3333333333333,20.2702702702703,94.845,0.351111111111109
258979,192538,0.0150122,-0.0260211,0.983799,83.3333333333333,20.2702702702703,94.845,0.351111111111109
258939,192447,0.0190155,-0.0260211,0.9848,83.3333333333333,20.2702702702703,94.845,0.351111111111109
258901,192422,0.016013,-0.0260211,0.987803,83.3333333333333,20.2702702702703,94.845,0.351111111111109
258880,192436,0.016013,-0.0260211,0.986802,83.3333333333333,20.2702702702703,94.845,0.351111111111109
258874,192451,0.0150122,-0.0250203,0.988803,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258927,192469,0.016013,-0.032026,0.988803,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258525,192447,0.016013,-0.0280228,0.989804,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258335,192358,0.0130106,-0.0230187,0.9848,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258201,192319,0.016013,-0.0280228,0.989804,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258234,192382,0.0150122,-0.0290236,0.9848,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258273,192393,0.0150122,-0.027022,0.9848,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258342,192412,0.0150122,-0.0250203,0.979796,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258398,192431,0.0170138,-0.0250203,0.985801,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258508,192466,0.016013,-0.0260211,0.989804,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258532,192528,0.0190155,-0.0280228,0.9848,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258532,192520,0.0120098,-0.0250203,0.9848,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258548,192538,0.0150122,-0.0290236,0.982799,83.3333333333333,19.7368421052632,94.845,0.351111111111109
258022,192458,0.016013,-0.0280228,0.986802,83.3333333333333,19.7368421052632,94.845,0.351111111111109
257839,192413,0.0140114,-0.0290236,0.9848,83.3333333333333,19.7368421052632,94.845,0.351111111111109
257633,192371,0.0120098,-0.0240195,0.983799,83.3333333333333,19.7368421052632,94.845,0.351111111111109
257594,192341,0.0110089,-0.0310252,0.983799,83.3333333333333,19.7368421052632,94.845,0.351111111111109
257684,192368,0.016013,-0.027022,0.9848,83.3333333333333,19.7368421052632,94.845,0.351111111111109
257676,192385,0.0130106,-0.0300244,0.989804,83.3333333333333,19.7368421052632,94.845,0.351111111111109
257808,192446,0.0190155,-0.0250203,0.9848,62.5,19.7368421052632,94.845,0.351111111111109
