IR,RED,X,Y,Z,HR,RR,SP02,ERROR_RATE
252208,184314,-0.188153,0.253206,0.924751,83.3333333333333,15.625,94.845,0.351111111111109
252411,184354,-0.186151,0.256208,0.925752,83.3333333333333,15.625,94.845,0.351111111111109
251778,184342,-0.188153,0.255207,0.919747,83.3333333333333,15.625,94.845,0.351111111111109
251077,184048,-0.187152,0.251204,0.929755,83.3333333333333,15.625,94.845,0.351111111111109
250770,183953,-0.190155,0.248202,0.926753,83.3333333333333,15.625,94.845,0.351111111111109
250681,183820,-0.191155,0.250203,0.926753,83.3333333333333,15.625,94.845,0.351111111111109
250617,183763,-0.18415,0.251204,0.924751,83.3333333333333,15.625,94.845,0.351111111111109
250619,183751,-0.183149,0.247201,0.930756,83.3333333333333,15.625,94.845,0.351111111111109
250738,183773,-0.183149,0.248202,0.929755,83.3333333333333,15.625,94.845,0.351111111111109
250913,183801,-0.188153,0.248202,0.926753,83.3333333333333,15.625,94.845,0.351111111111109
251056,183810,-0.187152,0.249202,0.929755,83.3333333333333,15.625,94.845,0.351111111111109
251259,183883,-0.179146,0.2462,0.927754,83.3333333333333,15.625,94.845,0.351111111111109
251210,184003,-0.190155,0.247201,0.923751,83.3333333333333,15.625,94.845,0.351111111111109
250212,183737,-0.18415,0.247201,0.928755,83.3333333333333,15.625,94.845,0.351111111111109
250033,183534,-0.18515,0.241196,0.931757,83.3333333333333,15.625,94.845,0.351111111111109
249940,183480,-0.182148,0.2462,0.927754,83.3333333333333,15.625,94.845,0.351111111111109
250052,183558,-0.186151,0.2462,0.928755,83.3333333333333,15.625,94.845,0.351111111111109
250258,183596,-0.18415,0.2462,0.928755,83.3333333333333,15.625,94.845,0.351111111111109
250667,183736,-0.192156,0.251204,0.927754,83.3333333333333,15.625,94.845,0.351111111111109
251118,183889,-0.196159,0.251204,0.924751,83.3333333333333,15.625,94.845,0.351111111111109
251467,184009,-0.195159,0.253206,0.923751,75,15.625,94.845,0.351111111111109
251909,184128,-0.19716,0.255207,0.919747,75,15.625,94.845,0.351111111111109
252299,184308,-0.200163,0.257209,0.916745,75,15.625,94.845,0.351111111111109
252361,184492,-0.200163,0.25821,0.919747,75,15.625,94.845,0.351111111111109
251880,184326,-0.198161,0.260211,0.921749,75,15.625,94.845,0.351111111111109
251986,184294,-0.203165,0.25821,0.917746,75,15.625,94.845,0.351111111111109
252201,184360,-0.206168,0.265215,0.918746,75,15.625,94.845,0.351111111111109
252335,184453,-0.202164,0.264215,0.909739,75,15.625,94.845,0.351111111111109
252485,184428,-0.199162,0.264215,0.916745,75,15.625,94.845,0.351111111111109
252670,184449,-0.200163,0.267217,0.911741,75,15.625,94.845,0.351111111111109
252927,184534,-0.19716,0.262213,0.920748,83.3333333333333,15.625,94.845,0.351111111111109
253074,184608,-0.198161,0.264215,0.927754,83.3333333333333,15.625,94.845,0.351111111111109
253208,184628,-0.193157,0.257209,0.92275,83.3333333333333,15.625,94.845,0.351111111111109
253387,184666,-0.200163,0.259211,0.916745,83.3333333333333,15.625,94.845,0.351111111111109
252885,184689,-0.193157,0.260211,0.916745,83.3333333333333,15.625,94.845,0.351111111111109
