IR,RED,X,Y,Z,HR,RR,SP02,ERROR_RATE
258972,196476,0.032026,-0.0350285,0.982799,83.3333333333333,20.2702702702703,94.845,0.351111111111109
260205,196996,0.0420342,-0.0200163,0.9848,83.3333333333333,20.2702702702703,94.845,0.351111111111109
260109,197362,0.0360293,-0.027022,0.9848,93.75,20.2702702702703,94.845,0.351111111111109
260052,197099,0.0350285,-0.0280228,0.986802,93.75,20.2702702702703,94.845,0.351111111111109
260667,197302,0.0450366,-0.0140114,0.988803,93.75,20.2702702702703,94.845,0.351111111111109
259844,197620,0.0260211,-0.0500407,0.990805,93.75,20.2702702702703,94.845,0.351111111111109
257402,196785,0.0330268,-0.0290236,0.987803,93.75,20.2702702702703,94.845,0.351111111111109
255770,195147,0.0380309,-0.0360293,0.988803,93.75,20.2702702702703,94.845,0.351111111111109
255217,194430,0.0360293,-0.0250203,0.993807,93.75,20.2702702702703,94.845,0.351111111111109
254933,194302,0.0340276,-0.0340276,0.991806,93.75,20.2702702702703,94.845,0.351111111111109
254504,194043,0.032026,-0.0280228,0.988803,83.3333333333333,20.2702702702703,94.845,0.351111111111109
254169,193709,0.0360293,-0.0300244,0.987803,83.3333333333333,20.2702702702703,94.845,0.351111111111109
253853,193469,0.0350285,-0.0240195,0.986802,83.3333333333333,20.2702702702703,94.845,0.351111111111109
253353,193150,0.032026,-0.0300244,0.985801,83.3333333333333,20.2702702702703,94.845,0.351111111111109
252924,192846,0.0390317,-0.027022,0.988803,83.3333333333333,20.2702702702703,94.845,0.351111111111109
252709,192600,0.0360293,-0.027022,0.989804,83.3333333333333,20.2702702702703,94.845,0.351111111111109
252627,192489,0.0370301,-0.027022,0.983799,83.3333333333333,20.2702702702703,94.845,0.351111111111109
252539,192222,0.0350285,-0.0260211,0.988803,83.3333333333333,20.2702702702703,94.845,0.351111111111109
252429,192060,0.0400325,-0.0290236,0.992807,83.3333333333333,20.2702702702703,94.845,0.351111111111109
251973,191765,0.0360293,-0.0250203,0.987803,75,20.2702702702703,94.845,0.351111111111109
251591,191566,0.0370301,-0.0310252,0.983799,75,20.2702702702703,94.845,0.351111111111109
251629,191848,0.0350285,-0.027022,0.9848,75,20.2702702702703,94.845,0.351111111111109
251974,192058,0.0400325,-0.0260211,0.990805,75,20.2702702702703,94.845,0.351111111111109
251944,192022,0.0350285,-0.0220179,0.987803,75,20.2702702702703,94.845,0.351111111111109
252050,191940,0.0340276,-0.0300244,0.988803,75,20.2702702702703,94.845,0.351111111111109
251996,191910,0.0340276,-0.0250203,0.994808,75,20.2702702702703,94.845,0.351111111111109
251874,191722,0.0380309,-0.027022,0.989804,75,20.2702702702703,94.845,0.351111111111109
251884,191734,0.0380309,-0.0240195,0.983799,75,20.2702702702703,94.845,0.351111111111109
251839,191721,0.0330268,-0.0280228,0.986802,75,20.2702702702703,94.845,0.351111111111109
251771,191633,0.0340276,-0.0290236,0.982799,68.1818181818182,20.2702702702703,94.845,0.351111111111109
251697,191616,0.032026,-0.027022,0.9848,68.1818181818182,20.2702702702703,94.845,0.351111111111109
