IR,RED,X,Y,Z,HR,RR,SP02,ERROR_RATE
256773,190297,-0.742603,-0.486395,0.446363,83.3333333333333,20.2702702702703,94.845,0.351111111111109
257070,190308,-0.742603,-0.465378,0.460374,83.3333333333333,20.2702702702703,94.845,0.351111111111109
257078,190198,-0.743604,-0.526428,0.481391,93.75,20.2702702702703,94.845,0.351111111111109
257060,190210,-0.694564,-0.514418,0.466379,93.75,20.2702702702703,94.845,0.351111111111109
256881,190191,-0.683555,-0.48039,0.457372,93.75,20.2702702702703,94.845,0.351111111111109
256984,190215,-0.692563,-0.449365,0.471383,93.75,20.2702702702703,94.845,0.351111111111109
256461,190044,-0.722587,-0.488397,0.505411,93.75,20.2702702702703,94.845,0.351111111111109
256333,189749,-0.803653,-0.39332,0.407331,93.75,20.2702702702703,94.845,0.351111111111109
256422,190284,-0.87371,-0.413336,0.360293,93.75,20.2702702702703,94.845,0.351111111111109
255153,189352,-0.785638,-0.450366,0.412335,93.75,20.2702702702703,94.845,0.351111111111109
254797,188196,-0.767624,-0.503409,0.441359,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255289,188284,-0.693564,-0.474385,0.450366,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255968,189084,-0.684556,-0.403328,0.449365,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255991,189587,-0.704572,-0.422343,0.483393,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255759,189443,-0.72559,-0.476387,0.500407,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255821,189384,-0.671546,-0.441359,0.520423,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255757,189329,-0.657534,-0.407331,0.579471,83.3333333333333,20.2702702702703,94.845,0.351111111111109
256067,189447,-0.702571,-0.424345,0.599487,83.3333333333333,20.2702702702703,94.845,0.351111111111109
256289,189674,-0.704572,-0.459373,0.579471,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255964,189530,-0.653531,-0.448364,0.586477,75,20.2702702702703,94.845,0.351111111111109
255342,189217,-0.688559,-0.488397,0.540439,75,20.2702702702703,94.845,0.351111111111109
255786,189119,-0.724589,-0.417339,0.38131,75,20.2702702702703,94.845,0.351111111111109
255402,189556,-0.759617,-0.485394,0.362294,75,20.2702702702703,94.845,0.351111111111109
254949,188943,-0.703572,-0.55345,0.389316,75,20.2702702702703,94.845,0.351111111111109
254558,188722,-0.622506,-0.546444,0.444361,75,20.2702702702703,94.845,0.351111111111109
255254,188785,-0.688559,-0.533433,0.400325,75,20.2702702702703,94.845,0.351111111111109
255895,189436,-0.730594,-0.510415,0.348283,75,20.2702702702703,94.845,0.351111111111109
256317,189938,-0.819666,-0.570463,0.375305,75,20.2702702702703,94.845,0.351111111111109
255844,189797,-0.79965,-0.588478,0.388315,75,20.2702702702703,94.845,0.351111111111109
255886,189765,-0.759617,-0.56646,0.352286,75,20.2702702702703,94.845,0.351111111111109
255715,189625,-0.760618,-0.524426,0.425346,75,20.2702702702703,94.845,0.351111111111109
256159,189793,-0.868706,-0.511416,0.317258,75,20.2702702702703,94.845,0.351111111111109
254916,189628,-0.70157,-0.452368,0.404329,75,20.2702702702703,94.845,0.351111111111109
254731,188750,-0.732595,-0.428348,0.40633,75,20.2702702702703,94.845,0.351111111111109
254690,188760,-0.715581,-0.478389,0.3693,75,20.2702702702703,94.845,0.351111111111109
255473,188662,-0.604491,-0.447363,0.351285,75,20.2702702702703,94.845,0.351111111111109
256823,190173,-0.78764,-0.47939,0.38131,75,20.2702702702703,94.845,0.351111111111109
256930,190870,-0.784638,-0.501407,0.331269,75,20.2702702702703,94.845,0.351111111111109
256944,190506,-0.823669,-0.50441,0.261212,75,20.2702702702703,94.845,0.351111111111109
256386,190423,-0.91074,-0.592481,0.325264,83.3333333333333,20.2702702702703,94.845,0.351111111111109
256164,189923,-0.914743,-0.588478,0.2462,83.3333333333333,20.2702702702703,94.845,0.351111111111109
256063,189916,-0.936761,-0.593482,0.23419,83.3333333333333,20.2702702702703,94.845,0.351111111111109
256573,190101,-0.806655,-0.510415,0.178145,83.3333333333333,20.2702702702703,94.845,0.351111111111109
256069,190101,-0.684556,-0.457372,0.25821,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255421,189774,-0.618503,-0.414337,0.259211,83.3333333333333,20.2702702702703,94.845,0.351111111111109
255439,189753,-0.643523,-0.470382,0.273222,83.3333333333333,28.8461538461538,94.845,0.351111111111109
255135,189590,-0.476387,-0.407331,0.309251,83.3333333333333,28.8461538461538,94.845,0.351111111111109
256442,189636,-0.538437,-0.352286,0.267217,83.3333333333333,28.8461538461538,94.845,0.351111111111109
257086,191327,-0.815663,-0.520423,0.259211,83.3333333333333,28.8461538461538,0,0.351111111111109
258534,190567,-1.01182,-0.605492,0.169137,83.3333333333333,28.8461538461538,0,0.351111111111109
257803,191166,-1.1109,-0.662538,-0.0300244,83.3333333333333,28.8461538461538,0,0.351111111111109
256256,190760,-1.13392,-0.688559,-0.0580472,83.3333333333333,28.8461538461538,0,0.351111111111109
255706,189749,-0.998812,-0.777632,0.162132,83.3333333333333,28.8461538461538,0,0.351111111111109
254834,188679,-0.764621,-0.686558,0.161131,83.3333333333333,28.8461538461538,0,0.351111111111109
256419,189621,-0.711578,-0.494402,0.208169,83.3333333333333,28.8461538461538,0,0.351111111111109
256905,190210,-0.71358,-0.425346,0.149121,83.3333333333333,28.8461538461538,0,0.351111111111109
257127,190583,-0.791643,-0.520423,0.163133,83.3333333333333,28.8461538461538,0,0.351111111111109
256428,190408,-0.785638,-0.583474,0.208169,83.3333333333333,28.8461538461538,94.845,0.351111111111109
256309,189799,-0.854694,-0.60249,0.206168,83.3333333333333,28.8461538461538,94.845,0.351111111111109
256470,189639,-0.926753,-0.680553,0.100081,83.3333333333333,28.8461538461538,94.845,0.351111111111109
256421,189887,-0.756615,-0.672546,0.103084,83.3333333333333,28.8461538461538,94.845,0.351111111111109
256788,189923,-0.471383,-0.46738,0.196159,83.3333333333333,28.8461538461538,94.845,0.351111111111109
257799,190805,-0.495403,-0.297242,0.241196,83.3333333333333,28.8461538461538,94.845,0.351111111111109
258875,192168,-0.878714,-0.545443,0.2462,83.3333333333333,28.8461538461538,94.845,0.351111111111109
258052,191245,-0.823669,-0.692563,0.161131,83.3333333333333,28.8461538461538,94.845,0.351111111111109
259147,191525,-0.890724,-0.777632,0.288234,83.3333333333333,28.8461538461538,94.845,0.351111111111109
259122,191894,-0.8617,-0.660537,0.219178,93.75,28.8461538461538,94.845,0.351111111111109
258518,191539,-0.919747,-0.606493,0.198161,93.75,28.8461538461538,94.845,0.351111111111109
257561,191089,-0.900732,-0.570463,0.170138,93.75,28.8461538461538,94.845,0.351111111111109
255966,189426,-0.722587,-0.477388,0.213173,93.75,28.8461538461538,94.845,0.351111111111109
255707,188886,-0.704572,-0.477388,0.217176,93.75,28.8461538461538,94.845,0.351111111111109
254972,188291,-0.60349,-0.476387,0.250203,93.75,22.0588235294118,94.845,0.351111111111109
255682,188700,-0.630512,-0.454369,0.243198,93.75,22.0588235294118,94.845,0.351111111111109
257011,189333,-0.745606,-0.501407,0.305248,93.75,22.0588235294118,94.845,0.351111111111109
258374,190416,-0.853694,-0.609495,0.264215,83.3333333333333,22.0588235294118,94.845,0.351111111111109
257876,190775,-0.871708,-0.668543,0.219178,83.3333333333333,22.0588235294118,94.845,0.351111111111109
257028,189849,-0.962782,-0.788641,0.171139,83.3333333333333,22.0588235294118,94.845,0.351111111111109
256511,189076,-0.705573,-0.671546,0.171139,83.3333333333333,22.0588235294118,94.845,0.351111111111109
257014,189430,-0.634516,-0.548446,0.205167,83.3333333333333,22.0588235294118,94.845,0.351111111111109
256771,189783,-0.547445,-0.429349,0.238194,83.3333333333333,22.0588235294118,94.845,0.351111111111109
256027,189570,-0.679552,-0.51742,0.225183,83.3333333333333,22.0588235294118,94.845,0.351111111111109
257016,189843,-0.760618,-0.537437,0.230187,83.3333333333333,22.0588235294118,94.845,0.351111111111109
258079,190446,-0.899731,-0.622506,0.268218,83.3333333333333,22.0588235294118,94.845,0.351111111111109
258189,190889,-0.899731,-0.636517,0.206168,83.3333333333333,22.0588235294118,94.845,0.351111111111109
256798,189715,-0.837681,-0.532433,0.200163,83.3333333333333,22.0588235294118,94.845,0.351111111111109
256027,188748,-0.893726,-0.554451,0.190155,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255382,188333,-0.805655,-0.48039,0.164133,83.3333333333333,22.0588235294118,94.845,0.351111111111109
254990,187985,-0.785638,-0.497404,0.154125,83.3333333333333,22.0588235294118,94.845,0.351111111111109
254697,187652,-0.734597,-0.477388,0.211172,83.3333333333333,22.0588235294118,94.845,0.351111111111109
253839,187283,-0.770626,-0.544442,0.248202,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255179,187307,-0.811659,-0.604491,0.260211,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255628,188579,-0.758616,-0.604491,0.223181,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255095,188002,-0.7386,-0.658535,0.27122,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255454,187722,-0.76262,-0.705573,0.254207,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255929,188061,-0.757616,-0.636517,0.110089,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255288,188153,-0.758616,-0.644524,0.168137,83.3333333333333,22.0588235294118,94.845,0.351111111111109
254558,187472,-0.57847,-0.539438,0.260211,83.3333333333333,22.0588235294118,94.845,0.351111111111109
254925,187418,-0.685557,-0.533433,0.229186,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255330,187639,-0.766623,-0.68956,0.228185,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255521,188018,-0.648527,-0.692563,0.259211,83.3333333333333,22.0588235294118,94.845,0.351111111111109
257653,189591,-0.771627,-0.665541,0.2462,83.3333333333333,22.0588235294118,94.845,0.351111111111109
258036,190923,-0.826672,-0.695565,0.198161,83.3333333333333,22.0588235294118,94.845,0.351111111111109
257196,190622,-0.720585,-0.584475,0.253206,83.3333333333333,22.0588235294118,94.845,0.351111111111109
257614,190174,-0.821668,-0.512416,0.218177,83.3333333333333,22.0588235294118,94.845,0.351111111111109
256823,190171,-0.823669,-0.477388,0.220179,83.3333333333333,22.0588235294118,94.845,0.351111111111109
255934,189350,-0.864703,-0.491399,0.230187,83.3333333333333,19.2307692307692,94.845,0.351111111111109
255413,188527,-0.743604,-0.478389,0.25821,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256119,188385,-0.72559,-0.432351,0.300244,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256220,188816,-0.792644,-0.512416,0.340276,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256264,188871,-0.742603,-0.583474,0.404329,83.3333333333333,19.2307692307692,94.845,0.351111111111109
257177,189542,-0.706574,-0.534434,0.365297,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256702,189698,-0.820667,-0.571464,0.39332,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256871,189353,-0.874711,-0.595484,0.211172,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256482,189173,-0.719585,-0.549446,0.257209,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256646,189134,-0.716582,-0.519422,0.266216,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256114,189154,-0.733596,-0.505411,0.325264,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256490,188798,-0.68956,-0.441359,0.34428,83.3333333333333,19.2307692307692,94.845,0.351111111111109
257263,189206,-0.758616,-0.533433,0.333271,83.3333333333333,19.2307692307692,94.845,0.351111111111109
257140,189700,-0.736598,-0.530431,0.349284,83.3333333333333,19.2307692307692,94.845,0.351111111111109
257422,189687,-0.77563,-0.568462,0.338275,68.1818181818182,19.2307692307692,94.845,0.351111111111109
257125,189655,-0.769625,-0.524426,0.370301,68.1818181818182,19.2307692307692,94.845,0.351111111111109
257043,189315,-0.745606,-0.505411,0.376306,68.1818181818182,19.2307692307692,94.845,0.351111111111109
258223,190199,-0.878714,-0.569463,0.275224,68.1818181818182,19.2307692307692,94.845,0.351111111111109
256946,189408,-0.727591,-0.559455,0.260211,68.1818181818182,19.2307692307692,94.845,0.351111111111109
256787,188982,-0.749609,-0.655533,0.285232,68.1818181818182,19.2307692307692,94.845,0.351111111111109
256795,188651,-0.634516,-0.577469,0.32026,68.1818181818182,19.2307692307692,94.845,0.351111111111109
257990,189849,-0.665541,-0.543442,0.329268,68.1818181818182,19.2307692307692,94.845,0.351111111111109
258560,190765,-0.752612,-0.581472,0.311253,68.1818181818182,19.2307692307692,94.845,0.351111111111109
258525,190828,-0.668543,-0.539438,0.25821,68.1818181818182,19.2307692307692,94.845,0.351111111111109
258530,191059,-0.705573,-0.604491,0.287233,68.1818181818182,19.2307692307692,94.845,0.351111111111109
258763,190917,-0.709577,-0.679552,0.311253,83.3333333333333,19.2307692307692,94.845,0.351111111111109
259389,191418,-0.838681,-0.684556,0.191155,83.3333333333333,19.2307692307692,94.845,0.351111111111109
259894,191864,-0.782636,-0.70157,0.167136,83.3333333333333,19.2307692307692,94.845,0.351111111111109
259228,192196,-0.66454,-0.657534,0.237193,83.3333333333333,19.2307692307692,94.845,0.351111111111109
258311,191560,-0.515419,-0.48039,0.256208,83.3333333333333,19.2307692307692,94.845,0.351111111111109
258958,190985,-0.55345,-0.416338,0.232189,83.3333333333333,19.2307692307692,94.845,0.351111111111109
259101,192191,-0.924751,-0.588478,0.145118,83.3333333333333,19.2307692307692,94.845,0.351111111111109
256862,190679,-0.795646,-0.742603,0.264215,83.3333333333333,19.2307692307692,94.845,0.351111111111109
258230,190362,-0.791643,-0.704572,0.276224,83.3333333333333,19.2307692307692,94.845,0.351111111111109
258573,191525,-0.741603,-0.597485,0.224182,83.3333333333333,19.2307692307692,94.845,0.351111111111109
258882,190730,-0.796647,-0.503409,0.139113,83.3333333333333,19.2307692307692,94.845,0.351111111111109
258349,192206,-0.855695,-0.530431,0.150122,83.3333333333333,19.2307692307692,94.845,0.351111111111109
257881,190388,-0.950773,-0.596485,0.119097,83.3333333333333,19.2307692307692,94.845,0.351111111111109
257589,190228,-0.84869,-0.655533,0.266216,83.3333333333333,19.2307692307692,94.845,0.351111111111109
257549,190006,-0.634516,-0.51642,0.193157,83.3333333333333,20.8333333333333,94.845,0.351111111111109
259401,191664,-0.599487,-0.409333,0.288234,83.3333333333333,20.8333333333333,94.845,0.351111111111109
260584,192166,-0.76262,-0.494402,0.265215,83.3333333333333,20.8333333333333,94.845,0.351111111111109
261300,193033,-0.816664,-0.574467,0.25821,83.3333333333333,20.8333333333333,94.845,0.351111111111109
261162,193237,-0.760618,-0.568462,0.248202,83.3333333333333,20.8333333333333,94.845,0.351111111111109
260104,192648,-0.817664,-0.60349,0.261212,83.3333333333333,20.8333333333333,94.845,0.351111111111109
258916,192020,-0.933759,-0.657534,0.112091,83.3333333333333,20.8333333333333,94.845,0.351111111111109
257879,190811,-0.773629,-0.654532,0.152124,83.3333333333333,20.8333333333333,94.845,0.351111111111109
257919,190270,-0.68956,-0.586477,0.22118,83.3333333333333,20.8333333333333,94.845,0.351111111111109
257994,190343,-0.614499,-0.438356,0.228185,83.3333333333333,20.8333333333333,94.845,0.351111111111109
257901,190276,-0.716582,-0.415337,0.241196,83.3333333333333,20.8333333333333,94.845,0.351111111111109
258044,190348,-0.807656,-0.525427,0.219178,83.3333333333333,20.8333333333333,94.845,0.351111111111109
258394,190486,-0.805655,-0.56646,0.298242,83.3333333333333,20.8333333333333,94.845,0.351111111111109
259185,190937,-0.91074,-0.630512,0.280228,75,20.8333333333333,94.845,0.351111111111109
259035,191147,-0.916745,-0.610496,0.254207,75,20.8333333333333,94.845,0.351111111111109
258502,190597,-0.900732,-0.547445,0.142115,75,20.8333333333333,94.845,0.351111111111109
257332,189735,-0.753612,-0.488397,0.206168,75,20.8333333333333,94.845,0.351111111111109
