IR,RED,X,Y,Z,HR,RR,SP02,ERROR_RATE
255683,188965,0.773629,0.426346,0.582473,93.75,21.4285714285714,94.845,0.351111111111109
254424,188570,0.662538,0.452368,0.791643,93.75,21.4285714285714,0,0.351111111111109
253729,187066,0.651529,0.610496,0.858698,93.75,21.4285714285714,0,0.351111111111109
252956,186382,0.583474,0.403328,0.671546,93.75,21.4285714285714,0,0.351111111111109
251966,185900,0.702571,0.436355,0.545443,93.75,21.4285714285714,0,0.351111111111109
253487,185950,0.631513,0.363295,0.426346,93.75,21.4285714285714,0,0.351111111111109
255677,187685,0.795646,0.30725,0.420342,93.75,21.4285714285714,0,0.351111111111109
257061,190512,0.853694,0.196159,0.380309,93.75,21.4285714285714,0,0.351111111111109
256685,190808,0.901733,0.217176,0.489398,93.75,21.4285714285714,0,0.351111111111109
256465,190386,0.955777,0.189154,0.396322,83.3333333333333,21.4285714285714,94.845,0.351111111111109
256600,190125,1.05185,0.274223,0.484394,83.3333333333333,21.4285714285714,94.845,0.351111111111109
256803,190159,1.00682,0.23419,0.34428,83.3333333333333,21.4285714285714,94.845,0.351111111111109
257148,190205,1.02984,0.181147,0.326265,83.3333333333333,20.8333333333333,94.845,0.351111111111109
256597,190271,0.84869,0.140114,0.390317,83.3333333333333,20.8333333333333,94.845,0.351111111111109
256486,190058,0.780634,0.0400325,0.28323,83.3333333333333,20.8333333333333,94.845,0.351111111111109
256525,190029,0.876712,0.00600488,0.335272,83.3333333333333,20.8333333333333,94.845,0.351111111111109
256574,189935,1.02984,-0.0530431,0.423344,83.3333333333333,20.8333333333333,94.845,0.351111111111109
256759,190024,1.03584,-0.112091,0.485394,83.3333333333333,20.8333333333333,94.845,0.351111111111109
257007,190121,1.1039,0.0500407,0.614499,93.75,20.8333333333333,94.845,0.351111111111109
257114,190126,0.826672,0.0230187,0.56646,93.75,20.8333333333333,94.845,0.351111111111109
257191,190162,0.846688,-0.00700569,0.472384,93.75,20.8333333333333,94.845,0.351111111111109
257267,190146,0.63952,-0.0530431,0.436355,93.75,20.8333333333333,94.845,0.351111111111109
256560,190013,0.737599,-0.0770626,0.494402,93.75,20.8333333333333,94.845,0.351111111111109
256571,189857,0.879715,-0.0490398,0.582473,93.75,20.8333333333333,94.845,0.351111111111109
256762,190097,0.99681,0.0460374,0.574467,93.75,20.8333333333333,94.845,0.351111111111109
256822,190181,1.1029,0.190155,0.584475,93.75,20.8333333333333,94.845,0.351111111111109
257003,190121,0.844686,0.137111,0.352286,75,20.8333333333333,94.845,0.351111111111109
257108,190149,1.07988,0.321261,0.425346,75,20.8333333333333,94.845,0.351111111111109
257013,190097,0.792644,0.109089,0.331269,75,20.8333333333333,94.845,0.351111111111109
257244,190109,0.844686,0.0420342,0.282229,75,20.8333333333333,94.845,0.351111111111109
257546,190255,0.97279,-0.0620504,0.252205,75,20.8333333333333,94.845,0.351111111111109
257328,190484,1.01082,-0.166135,0.216176,75,20.8333333333333,94.845,0.351111111111109
257342,190607,1.14893,-0.225183,0.178145,75,20.8333333333333,94.845,0.351111111111109
257335,190721,1.11491,-0.176143,0.181147,75,20.8333333333333,94.845,0.351111111111109
257312,190706,1.04585,-0.181147,0.181147,75,20.8333333333333,94.845,0.351111111111109
257232,190610,1.07687,-0.168137,0.091074,75,20.8333333333333,94.845,0.351111111111109
257418,190695,0.893726,-0.214174,0.0820667,68.1818181818182,20.8333333333333,94.845,0.351111111111109
257583,190719,0.789642,-0.254207,0.126102,68.1818181818182,20.8333333333333,94.845,0.351111111111109
257758,190807,0.899731,-0.268218,0.159129,68.1818181818182,20.8333333333333,94.845,0.351111111111109
257945,190919,1.09589,-0.247201,0.156127,68.1818181818182,20.8333333333333,94.845,0.351111111111109
257830,191145,1.07287,-0.157128,0.0580472,68.1818181818182,20.8333333333333,94.845,0.351111111111109
257886,191372,1.19897,0.00800651,0.0880716,68.1818181818182,20.8333333333333,94.845,0.351111111111109
259197,192310,1.226,0.0660537,0.0560455,68.1818181818182,20.8333333333333,94.845,0.351111111111109
259700,193435,1.08989,0.0280228,0.113092,68.1818181818182,20.8333333333333,94.845,0.351111111111109
259113,193435,0.884719,0.0350285,0.165134,68.1818181818182,20.8333333333333,94.845,0.351111111111109
258969,193184,0.887721,-0.0190155,0.181147,68.1818181818182,20.8333333333333,94.845,0.351111111111109
258662,192793,0.951773,-0.0210171,0.241196,68.1818181818182,20.8333333333333,94.845,0.351111111111109
258864,192536,0.980797,-0.100081,0.280228,68.1818181818182,20.8333333333333,94.845,0.351111111111109
259117,192647,1.05786,-0.0230187,0.365297,68.1818181818182,23.4375,94.845,0.351111111111109
259086,192664,1.11491,0.0400325,0.370301,68.1818181818182,23.4375,94.845,0.351111111111109
258481,192537,1.04185,0.0410333,0.365297,68.1818181818182,23.4375,94.845,0.351111111111109
258922,192435,0.93576,0.0170138,0.264215,68.1818181818182,23.4375,94.845,0.351111111111109
259226,192994,0.784638,-0.0410333,0.335272,68.1818181818182,23.4375,94.845,0.351111111111109
259237,192960,0.835679,-0.128104,0.372303,68.1818181818182,23.4375,94.845,0.351111111111109
258689,192752,0.934759,-0.127103,0.44336,68.1818181818182,23.4375,94.845,0.351111111111109
258579,192327,1.08989,-0.0350285,0.466379,68.1818181818182,23.4375,94.845,0.351111111111109
258662,192349,1.02984,-0.00600488,0.364296,68.1818181818182,23.4375,94.845,0.351111111111109
258938,192371,1.23,0.191155,0.396322,68.1818181818182,23.4375,94.845,0.351111111111109
258909,192444,0.932758,0.150122,0.284231,83.3333333333333,23.4375,94.845,0.351111111111109
258504,192315,0.889723,0.0790642,0.335272,83.3333333333333,23.4375,94.845,0.351111111111109
258280,192193,0.788641,0.00700569,0.329268,83.3333333333333,23.4375,94.845,0.351111111111109
258142,191838,0.845687,0.059048,0.414337,83.3333333333333,23.4375,94.845,0.351111111111109
258158,191745,0.912742,0.0280228,0.442359,83.3333333333333,23.4375,94.845,0.351111111111109
258309,191846,1.05185,0.0350285,0.501407,83.3333333333333,23.4375,94.845,0.351111111111109
258423,191872,0.943767,0.00700569,0.501407,83.3333333333333,23.4375,94.845,0.351111111111109
258386,191851,1.08188,0.167136,0.526428,83.3333333333333,23.4375,94.845,0.351111111111109
258575,191871,0.938763,0.237193,0.487396,83.3333333333333,23.4375,94.845,0.351111111111109
258807,191972,0.958779,0.252205,0.454369,83.3333333333333,23.4375,94.845,0.351111111111109
258330,191999,0.66454,0.0710577,0.379308,83.3333333333333,23.4375,94.845,0.351111111111109
258060,191726,0.766623,0.0400325,0.447363,83.3333333333333,23.4375,94.845,0.351111111111109
258255,191663,0.921749,0.0980797,0.54144,83.3333333333333,23.4375,94.845,0.351111111111109
258479,191773,1.01082,0.165134,0.488397,83.3333333333333,23.4375,94.845,0.351111111111109
258350,191807,0.990805,0.132107,0.388315,83.3333333333333,23.4375,94.845,0.351111111111109
258425,191739,1.21399,0.241196,0.422343,83.3333333333333,23.4375,94.845,0.351111111111109
258443,191688,1.03684,0.188153,0.358291,83.3333333333333,23.4375,94.845,0.351111111111109
258605,191716,0.888722,0.129105,0.365297,83.3333333333333,23.4375,94.845,0.351111111111109
258696,191775,0.751611,-0.0260211,0.299243,83.3333333333333,23.4375,94.845,0.351111111111109
