IR,RED,X,Y,Z,HR,RR,SP02,ERROR_RATE
232145,189456,0.915744,-0.0450366,0.50441,93.75,20.2702702702703,94.845,0.351111111111109
231155,189391,0.909739,-0.0610496,0.457372,93.75,20.2702702702703,94.845,0.351111111111109
231088,189152,0.903734,-0.0660537,0.473385,93.75,20.2702702702703,94.845,0.351111111111109
231307,189076,0.920748,-0.0630512,0.498405,93.75,20.2702702702703,94.845,0.351111111111109
231128,189040,0.906737,-0.0350285,0.466379,93.75,20.2702702702703,94.845,0.351111111111109
231100,188976,0.942766,-0.0960781,0.458372,83.3333333333333,20.2702702702703,94.845,0.351111111111109
228270,188742,0.918746,-0.103084,0.468381,83.3333333333333,20.2702702702703,94.845,0.351111111111109
226211,187116,0.929755,-0.0670545,0.472384,83.3333333333333,20.2702702702703,94.845,0.351111111111109
227476,187548,0.907738,-0.0100081,0.506411,83.3333333333333,20.2702702702703,94.845,0.351111111111109
227876,187903,0.908738,-0.0410333,0.4924,83.3333333333333,20.2702702702703,94.845,0.351111111111109
226378,187646,0.897729,-0.0770626,0.513417,83.3333333333333,20.2702702702703,94.845,0.351111111111109
227726,187675,0.878714,-0.0650529,0.532433,83.3333333333333,20.2702702702703,94.845,0.351111111111109
229690,188422,0.855695,-0.0560455,0.524426,83.3333333333333,20.2702702702703,94.845,0.351111111111109
231609,188982,0.865703,-0.0350285,0.528429,83.3333333333333,20.2702702702703,94.845,0.351111111111109
232402,189453,0.847689,-0.0420342,0.498405,93.75,20.2702702702703,94.845,0.351111111111109
228731,189040,0.916745,-0.0350285,0.506411,93.75,20.2702702702703,94.845,0.351111111111109
227676,188014,0.879715,-0.027022,0.490398,93.75,20.2702702702703,94.845,0.351111111111109
227829,187810,0.918746,0.00300244,0.503409,93.75,20.2702702702703,94.845,0.351111111111109
228003,187958,0.944768,-0.00200163,0.4924,93.75,20.2702702702703,94.845,0.351111111111109
228827,188096,0.931757,-0.00200163,0.462376,93.75,20.2702702702703,94.845,0.351111111111109
229646,188426,0.963783,0.0220179,0.414337,93.75,20.2702702702703,94.845,0.351111111111109
229938,188525,0.995809,-0.016013,0.482392,93.75,20.2702702702703,94.845,0.351111111111109
230533,188718,0.853694,-0.0180146,0.433352,93.75,20.2702702702703,94.845,0.351111111111109
229290,188893,0.889723,-0.00200163,0.413336,93.75,20.2702702702703,94.845,0.351111111111109
225385,187187,0.990805,-0.0540439,0.482392,93.75,20.2702702702703,94.845,0.351111111111109
226676,187334,1.02784,0.0200163,0.491399,93.75,20.2702702702703,94.845,0.351111111111109
226986,187460,0.817664,0.0290236,0.351285,93.75,20.2702702702703,94.845,0.351111111111109
229483,188106,0.932758,-0.0440358,0.458372,93.75,20.2702702702703,94.845,0.351111111111109
231143,188748,0.943767,-0.0290236,0.423344,93.75,30,94.845,0.351111111111109
232335,189019,0.987803,0.0100081,0.401326,93.75,30,94.845,0.351111111111109
232832,189285,0.890724,0.032026,0.395321,93.75,30,94.845,0.351111111111109
233490,189423,0.983799,0.0520423,0.426346,93.75,30,94.845,0.351111111111109
229808,189055,0.990805,0.0130106,0.39432,93.75,30,94.845,0.351111111111109
229174,188143,0.948771,0.00800651,0.389316,93.75,30,94.845,0.351111111111109
229724,188301,0.906737,0.0470382,0.423344,93.75,30,94.845,0.351111111111109
230114,188608,0.941765,0.0260211,0.43035,93.75,30,94.845,0.351111111111109
230177,188526,0.962782,-0.0340276,0.424345,93.75,30,94.845,0.351111111111109
232250,188854,0.874711,-0.0120098,0.448364,93.75,30,94.845,0.351111111111109
235706,189778,0.912742,0.0500407,0.41834,83.3333333333333,30,94.845,0.351111111111109
239314,191154,0.963783,0.0700569,0.408332,83.3333333333333,30,94.845,0.351111111111109
238604,192428,0.913742,0.00700569,0.39332,83.3333333333333,30,94.845,0.351111111111109
235779,191073,0.884719,0.0280228,0.382311,83.3333333333333,30,94.845,0.351111111111109
235076,190129,0.920748,0.171139,0.392319,83.3333333333333,30,94.845,0.351111111111109
234494,189782,1.04685,0.204166,0.407331,83.3333333333333,30,94.845,0.351111111111109
234384,189613,1.11791,0.201163,0.253206,83.3333333333333,30,94.845,0.351111111111109
235441,189682,0.953775,-0.00500407,0.279227,83.3333333333333,30,94.845,0.351111111111109
236676,190117,1.00281,0.120098,0.347282,83.3333333333333,30,94.845,0.351111111111109
237036,190495,0.919747,0.19716,0.397323,93.75,30,94.845,0.351111111111109
237659,190832,0.897729,0.179146,0.386314,93.75,30,94.845,0.351111111111109
236656,190695,1.12291,-0.0400325,0.342278,93.75,30,94.845,0.351111111111109
237904,191551,0.97179,-0.137111,0.214174,93.75,30,94.845,0.351111111111109
238357,192239,0.988803,-0.132107,0.14812,93.75,30,94.845,0.351111111111109
236866,191497,0.94777,-0.136111,0.192156,93.75,30,94.845,0.351111111111109
237528,191279,0.925752,-0.170138,0.282229,93.75,22.0588235294118,94.845,0.351111111111109
238176,191712,0.937762,-0.158128,0.318259,93.75,22.0588235294118,94.845,0.351111111111109
238525,191699,1.1069,-0.156127,0.410333,93.75,22.0588235294118,94.845,0.351111111111109
237616,191342,1.26503,-0.236192,0.509414,93.75,22.0588235294118,94.845,0.351111111111109
233847,190930,1.21299,-0.121098,0.200163,93.75,22.0588235294118,94.845,0.351111111111109
231484,188768,0.730594,-0.059048,0.132107,93.75,22.0588235294118,94.845,0.351111111111109
231929,188699,0.776631,-0.0420342,0.276224,93.75,22.0588235294118,94.845,0.351111111111109
230863,188858,0.781635,-0.107087,0.338275,93.75,22.0588235294118,94.845,0.351111111111109
230595,188355,0.929755,-0.159129,0.396322,93.75,22.0588235294118,94.845,0.351111111111109
233689,188920,1.17095,-0.204166,0.453368,93.75,22.0588235294118,94.845,0.351111111111109
235856,189968,1.40414,-0.301245,0.444361,83.3333333333333,22.0588235294118,94.845,0.351111111111109
236251,190077,0.931757,-0.027022,0.0280228,83.3333333333333,22.0588235294118,94.845,0.351111111111109
234359,189833,0.823669,-0.186151,0.0760618,83.3333333333333,22.0588235294118,94.845,0.351111111111109
231719,189282,0.866704,-0.14812,0.134109,83.3333333333333,22.0588235294118,94.845,0.351111111111109
228893,188134,0.841684,-0.0850691,0.244198,83.3333333333333,22.0588235294118,94.845,0.351111111111109
231074,188441,1.13893,-0.125102,0.370301,83.3333333333333,22.0588235294118,94.845,0.351111111111109
232499,189186,1.31307,-0.0980797,0.486395,83.3333333333333,22.0588235294118,94.845,0.351111111111109
231982,188606,1.05686,0.102083,0.0330268,83.3333333333333,22.0588235294118,94.845,0.351111111111109
232039,188921,0.764621,0.0210171,0.149121,83.3333333333333,22.0588235294118,94.845,0.351111111111109
233110,189125,0.742603,-0.0790642,0.274223,93.75,22.0588235294118,94.845,0.351111111111109
231340,188971,0.765622,-0.203165,0.326265,93.75,22.0588235294118,94.845,0.351111111111109
231189,188534,1.11391,-0.149121,0.445362,93.75,22.0588235294118,94.845,0.351111111111109
233068,189112,1.28805,-0.14712,0.558454,93.75,22.0588235294118,94.845,0.351111111111109
235679,190259,1.26303,-0.176143,0.383311,93.75,22.0588235294118,94.845,0.351111111111109
236327,190782,0.789642,-0.0650529,0.13511,93.75,22.0588235294118,94.845,0.351111111111109
234843,190411,0.693564,-0.0930756,0.272221,93.75,22.0588235294118,94.845,0.351111111111109
234355,189888,0.741603,-0.00500407,0.375305,93.75,22.0588235294118,94.845,0.351111111111109
236124,189902,0.924751,-0.0740602,0.490398,107.142857142857,22.0588235294118,94.845,0.351111111111109
235239,190635,1.05286,-0.173141,0.60349,107.142857142857,22.0588235294118,94.845,0.351111111111109
235473,190388,1.43617,-0.0780634,0.778633,107.142857142857,22.0588235294118,94.845,0.351111111111109
232142,189699,0.876712,0.0900732,0.202164,107.142857142857,22.0588235294118,94.845,0.351111111111109
233231,188594,0.674548,-0.0280228,0.365297,107.142857142857,22.0588235294118,94.845,0.351111111111109
235300,190301,0.855695,0.0180146,0.375305,107.142857142857,22.0588235294118,94.845,0.351111111111109
234217,190107,0.71358,-0.102083,0.400325,107.142857142857,22.0588235294118,94.845,0.351111111111109
235921,189981,0.928755,-0.152124,0.471383,93.75,16.304347826087,94.845,0.351111111111109
238440,191113,1.25302,-0.180146,0.657534,93.75,16.304347826087,94.845,0.351111111111109
238737,192518,1.14693,-0.0470382,0.259211,93.75,16.304347826087,94.845,0.351111111111109
236452,191027,0.751611,-0.109089,0.22118,93.75,16.304347826087,94.845,0.351111111111109
234789,190612,0.71358,-0.091074,0.379308,93.75,16.304347826087,94.845,0.351111111111109
235079,190014,0.685557,-0.0550447,0.506411,93.75,16.304347826087,94.845,0.351111111111109
236239,190539,1.06186,-0.0370301,0.409333,93.75,16.304347826087,94.845,0.351111111111109
236817,190825,1.14593,-0.317258,0.770626,93.75,16.304347826087,94.845,0.351111111111109
236806,191381,1.18797,0.109089,0.509414,83.3333333333333,16.304347826087,94.845,0.351111111111109
235448,189772,0.718584,0.211172,0.334272,83.3333333333333,16.304347826087,94.845,0.351111111111109
236505,189595,0.711578,0.0120098,0.389316,83.3333333333333,16.304347826087,94.845,0.351111111111109
234367,189770,0.782636,0.0130106,0.408332,83.3333333333333,16.304347826087,94.845,0.351111111111109
234585,189595,0.991806,-0.0710577,0.503409,83.3333333333333,16.304347826087,94.845,0.351111111111109
234229,189591,1.07387,-0.131107,0.588478,83.3333333333333,16.304347826087,94.845,0.351111111111109
236034,189775,1.36611,-0.0300244,0.575468,83.3333333333333,16.304347826087,94.845,0.351111111111109
236725,190818,0.902733,0.165134,0.205167,83.3333333333333,16.304347826087,94.845,0.351111111111109
235582,190443,0.643523,-0.0710577,0.361294,83.3333333333333,16.304347826087,94.845,0.351111111111109
234582,189938,0.695565,-0.00900732,0.435354,93.75,16.304347826087,94.845,0.351111111111109
233391,189620,0.748608,0.0170138,0.474385,93.75,16.304347826087,94.845,0.351111111111109
232831,189728,1.02683,-0.0610496,0.576468,93.75,16.304347826087,94.845,0.351111111111109
233114,189363,1.29305,-0.163133,0.823669,93.75,16.304347826087,94.845,0.351111111111109
232948,189442,1.01082,0.0500407,0.4924,93.75,16.304347826087,94.845,0.351111111111109
233513,189535,0.561456,0.0490398,0.39332,93.75,16.304347826087,94.845,0.351111111111109
